institution,period,euro,doi,is_hybrid,publisher,journal_full_title,isssn_electronic,issn_print,isssn_electronic,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj,agreement
HS Düsseldorf,2021,"2358,08 €",10.1007/s13222-021-00373-z,true,Springer Nature,Datenbank-Spektrum,1610-1995,1618-2162,1610-1995,https://creativecommons.org/licenses/by/4.0,true,NA,NA,NA,NA,false,DEAL Springer
HS Düsseldorf,2021,"679,87 €",10.1186/s40991-021-00061-x,false,Springer Nature,International Journal of Corporate Social Responsibility,2366-0074,2366-0066,2366-0074,https://creativecommons.org/licenses/by/4.0,true,NA,NA,NA,NA,true,DEAL Springer
HS Düsseldorf,2021,"2358,08 €",10.1007/s41059-021-00086-1,true,Springer Nature,Soziale Probleme,0939-608X,NA,0939-608X,https://creativecommons.org/licenses/by/4.0,true,NA,NA,NA,NA,false,DEAL Springer
HS Düsseldorf,2021,"845,76 €",10.1002/cite.202000233,true,Wiley,Chemie Ingenieur Technik,1522-2640,0009-286X,1522-2640,https://creativecommons.org/licenses/by/4.0,true,NA,NA,NA,NA,false,DEAL Wiley
HS Düsseldorf,2021,"845,76 €",10.1002/cite.202100049,true,Wiley,Chemie Ingenieur Technik,1522-2640,0009-286X,1522-2640,https://creativecommons.org/licenses/by/4.0,true,NA,NA,NA,NA,false,DEAL Wiley
