institution,period,euro,doi,is_hybrid,publisher,journal_full_title,isssn_electronic,issn_print,isssn_electronic,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj,agreement
HS Düsseldorf,2019,"338,21 €",10.3390/app9183815,false,MDPI,Applied Sciences,2076-3417,NA,2076-3417,https://creativecommons.org/licenses/by/4.0,true,NA,NA,NA,NA,false,
HS Düsseldorf,2019,"498,64 €",10.1080/14427591.2019.1608843,true,Taylor & Francis,Journal of Occupational Science,2158-1576,1442-7591,2158-1576,,true,NA,NA,NA,NA,false,
