"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"HS Düsseldorf",2020,1675,"10.1016/j.cie.2020.106334",TRUE,"Elsevier BV","Computers & Industrial Engineering","0360-8352","0360-8352","0360-8352","0360-8352","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000525375800018",NA,FALSE
"HS Düsseldorf",2020,2467.96,"10.3389/fpsyg.2020.570761",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"33192862","PMC7644977","ut:000587014600001",NA,TRUE
"HS Düsseldorf",2020,1811.47,"10.3390/en13010152",FALSE,"MDPI AG","Energies","1996-1073","1996-1073","1996-1073","1996-1073","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000520425800152",NA,TRUE
