Institution;Period;Publisher;ISSN. 1;ISSN. 2;Title;Journal;DOI;base.url;record.id;EURO
Technische Universitaet Ilmenau;2015;AIP Publishing LLC;2158-3226;;Identification of photoluminescence P line in indium doped silicon as InSi-Sii defect;AIP Advances;10.1063/1.4905066;http://www.db-thueringen.de/;ID 26090;1416,17
Technische Universitaet Ilmenau;2015;Public Library of Science;1932-6203;;SPHARA - A generalized spatial Fourier analysis for multi-sensor systems with non-uniformly arranged sensors: application to EEG;PLoSONE;10.1371/journal.pone.0121741;http://www.db-thueringen.de/;ID 25934;1462,45
Technische Universitaet Ilmenau;2015;Scientific Research Publishing Inc.;2160-0473;2160-0481;Literature Survey on Recent Progress in Inter-Vehicle Communication Simulations;Journal of transportation technologies (JTTs);10.4236/jtts.2015.53015;http://www.db-thueringen.de/;ID 26235;985,92
Technische Universitaet Ilmenau;2015;Kassel University Press;1861-2121;;Integration of Remote and Virtual Laboratories in the Educational Process;International Journal of Online Engineering (iJOE);10.3991/ijoe.v11i3.4558;http://www.db-thueringen.de/;ID 26268;178,50
