"institution","period","euro","doi","backlist_oa","book_title"
"Hochschule Luzern",2024,3200,"10.5281/zenodo.10259134 ","false","herzfroh 2.0 (Ausgabe Schweiz): Fragen und Antworten zu Körper, Liebe und Sexualität – Heft «Körper und Pubertät»"
"Hochschule Luzern",2024,3200,"10.5281/zenodo.10259140 ","false","herzfroh 2.0 (Ausgabe Schweiz): Fragen und Antworten zu Körper, Liebe und Sexualität – Heft «Vielfalt»"
"Hochschule Luzern",2024,3200,"10.5281/zenodo.10259150","false","herzfroh 2.0 (Ausgabe Schweiz): Fragen und Antworten zu Körper, Liebe und Sexualität – Heft «Sexualität»"
"Hochschule Luzern",2024,3200,"10.5281/zenodo.10259148 ","false","herzfroh 2.0 (Ausgabe Schweiz): Fragen und Antworten zu Körper, Liebe und Sexualität – Heft «Grenzen»"
"Hochschule Luzern",2024,6400,"10.5281/zenodo.10259109 ","false","Familienrat/ Family Group Conference in der Schweiz"
"Hochschule Luzern",2024,11600,"10.33057/chronos.1804","false","The Yodeling Mind"
"Hochschule Luzern",2024,25600,"10.4472/9783035807431","false","Post/koloniale Verstrickungen"
"Hochschule Luzern",2024,8550,"10.23799/9783741007071","false","Wahrnehmung stören"
"Hochschule Luzern",2024,6900,"10.5281/zenodo.10255469 ","false","Lernen in der Praxis. Die Praxisausbildung im Studium der Sozialen Arbeit,"
"Hochschule Luzern",2024,8550,"10.5281/zenodo.10833099","false","Soziokulturelle Entwicklung zwischen Forschung und Praxis"
