"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"",,,"","","","","","","","","",""
"Hochschule Luzern",2024,6400,"10.5281/zenodo.10259109",FALSE,"Lambertus-Verlag","Familienrat/ Family Group Conference in der Schweiz","978-3-906036-58-8",NA,NA,NA,FALSE,FALSE
"",,,"","","","","","","","","",""
"Hochschule Luzern",2024,25600,"10.4472/9783035807431",FALSE,"DIAPHANES","Post/koloniale Verstrickungen. Der Fall Renzo Martens und die Grenzen der Kunstwissenschaft","978-3-0358-0743-1","978-3-0358-0743-1",NA,NA,TRUE,FALSE
"Hochschule Luzern",2024,8550,"10.23799/9783741007071",FALSE,"Schüren Verlag GmbH","Wahrnehmung stören","978-3-7410-0707-1","978-3-7410-0707-1",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Hochschule Luzern",2024,6900,"10.5281/zenodo.10255469",FALSE,"Lambertus-Verlag","Lernen in der Praxis. Die Praxisausbildung im Studium der Sozialen Arbeit","978-3-906036-56-4",NA,NA,NA,FALSE,FALSE
"Hochschule Luzern",2024,8550,"10.5281/zenodo.10833099",FALSE,"vdf Hochschulverlag AG an der ETH Zürich","Soziokulturelle Entwicklung zwischen Forschung und Praxis","978-3-7281-4173-6",NA,NA,NA,FALSE,FALSE
