Institution;Period;Euro;DOI;backlist_oa;
Universität Konstanz;2021;6.000,00;https://dx.doi.org/10.1007/978-3-030-44584-3;false;
Universität Konstanz;2021;6.000,00;https://doi.org/10.1093/oso/9780190884314.001.0001;false;
Universität Konstanz;2021;4.812,00;https://doi.org/10.31244/9783830994183;false;
