"Period","EURO","doi","publisher","journal","ISSN.1","ISSN.2"
2012,"1280.44","10.1186/1471-244X-12-14","Springer Science + Business Media","BMC Psychiatry","1471-244X","NA"
2012,"1489.88","10.1186/1471-2229-12-191","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA"
2012,"661.64","10.1186/1756-0500-5-138","Springer Science + Business Media","BMC Research Notes","1756-0500","NA"
2012,"1437.52","10.1186/1471-2458-12-714","Springer Science + Business Media","BMC Public Health","1471-2458","NA"
2012,"1451.80","10.1186/1471-2164-13-723","Springer Science + Business Media","BMC Genomics","1471-2164","NA"
2012,"1437.52","10.1186/1471-2458-12-705","Springer Science + Business Media","BMC Public Health","1471-2458","NA"
2012,"1270.92","10.1186/1471-2229-12-52","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA"
2012,"1466.08","10.1186/1471-2458-12-1128","Springer Science + Business Media","BMC Public Health","1471-2458","NA"
2012,"1266.16","10.1186/1471-244X-12-41","Springer Science + Business Media","BMC Psychiatry","1471-244X","NA"
2012,"1258.24","10.1371/journal.pone.0049097","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1308.55","10.1371/journal.pone.0043695","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1267.76","10.1371/journal.pone.0044670","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1281.28","10.1371/journal.pone.0030064","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1323.66","10.1371/journal.pone.0044516","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1234.93","10.1371/journal.pone.0032808","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1341.67","10.1371/journal.pone.0041674","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1244.94","10.1371/journal.pone.0030460","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1302.53","10.1371/journal.pone.0045497","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1296.42","10.1371/journal.pone.0045194","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1307.77","10.1371/journal.pone.0039908","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2012,"1091.00","10.3389/fnhum.2012.00074","Frontiers Media SA","Front. Hum. Neurosci.","1662-5161","NA"
2012,"1733.60","10.3389/fpsyg.2012.00434","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2012,"1142.40","10.3389/fpsyg.2012.00597","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2012,"1924.00","10.3389/fpsyg.2012.00359","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2012,"931.89","10.1364/OE.20.009698","Optical Society of America (OSA)","Opt. Express","1094-4087","NA"
2012,"1697.31","10.1364/OE.20.019769","Optical Society of America (OSA)","Opt. Express","1094-4087","NA"
2012,"1564.75","10.1364/OE.20.005955","Optical Society of America (OSA)","Opt. Express","1094-4087","NA"
2012,"997.22","10.1364/OE.20.018630","Optical Society of America (OSA)","Opt. Express","1094-4087","NA"


2012,"1225.70","10.1093/gbe/evs069","Oxford University Press (OUP)","Genome Biology and Evolution","1759-6653","NA"
2012,"1518.73","10.1155/2012/321653","Hindawi Publishing Corporation","Oxidative Medicine and Cellular Longevity","1942-0900","1942-0994"
2012,"466.67","10.1155/2012/958319","Hindawi Publishing Corporation","Education Research International","2090-4002","2090-4010"
2012,"1314.51","10.1289/ehp.1104489","Environmental Health Perspectives","Environ Health Perspect","0091-6765","NA"
2012,"136.57","10.5121/ijcnc.2012.4502","Academy and Industry Research Collaboration Center (AIRCC)","IJCNC","0975-2293","NA"
