Institution,,Period,Euro,DOI,is_hybrid,Publisher,Journal_full_title,,issn
Laurea University of Applied Sciences,,2019,810.09,10.1016/j.lcsi.2019.100327,0,Elsevier,"Learning, culture and social interaction",,2210-6561
Laurea University of Applied Sciences,,2019,2395,10.1080/2578983X.2019.1637093,0,Taylor & Francis,Nordic Journal of Criminology,,2578-983X
Laurea University of Applied Sciences,,2019,224.69,10.1177/1477750919876250,0,SAGE,Clinical ethics,,1477-7509
