Institution,Period,EURO,publisher,journal_full_title,issn,issn_print,issn_electronic,doi,indexed_in_CrossRef,pmid,pmcid,base_url,repo_id,ut,DOAJ,license_ref,is_hybrid
Kassel U,2015,1142,,,,,,10.3389/fpsyg.2015.00165 ,,,,,,,,,
Kassel U,2015,1417,,,,,,10.1371/journal.pone.0119261,,,,,,,,,
Kassel U,2015,440,,,,,,10.2971/jeos.2015.15007,,,,,,,,,
Kassel U,2015,1374,,,,,,10.3390/su7055944,,,,,,,,,
Kassel U,2015,1156,,,,,,10.1088/1367-2630/17/4/043050,,,,,,,,,
Kassel U,2015,236,,,,,,10.3732/apps.1500015,,,,,,,,,
Kassel U,2015,1002,,,,,,10.1088/1367-2630/17/2/025007,,,,,,,,,
Kassel U,2015,1156,,,,,,10.1088/1367-2630/17/4/045020,,,,,,,,,
Kassel U,2015,1156,,,,,,10.1088/1367-2630/17/4/045022,,,,,,,,,
Kassel U,2015,1036,,,,,,10.3389/fpsyg.2015.00765,,,,,,,,,
Kassel U,2014,1059,,,,,,10.1088/1367-2630/16/5/055012,,,,,,,,,
Kassel U,2014,1241,,,,,,10.1371/journal.pone.0105800,,,,,,,,,
Kassel U,2014,1700,,,,,,10.1364/OE.22.0A1440,,,,,,,,,
Kassel U,2014,672,International Food and Agribusiness Management Association,International Food and Agribusiness Management Review,,1096-7508,1559-2448,NA,,,,,,,,,
Kassel U,2014,1059,,,,,,10.1088/1367-2630/16/7/075007,,,,,,,,,
Kassel U,2014,1059,,,,,,10.1088/1367-2630/16/1/013002,,,,,,,,,
Kassel U,2014,1156,,,,,,10.1088/1367-2630/16/10/102002,,,,,,,,,
Kassel U,2014,250,,,,,,10.12854/erde-145-18,,,,,,,,,
Kassel U,2014,607,,,,,,10.15698/mic2014.12.179,,,,,,,,,
Kassel U,2014,1025,,,,,,10.1371/journal.pone.0108757,,,,,,,,,
Kassel U,2013,1354,,,,,,10.1103/PhysRevX.3.011005,,,,,,,,,
Kassel U,2013,155,ESci Journals Publishing,Journal of Pro Poor Growth,,2310-4686,2306-1669,NA,,,,,,,,,
Kassel U,2013,1434,,,,,,10.1186/1297-9686-45-12,,,,,,,,,
