"institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
"Kassel U",2024,2084.88,"10.1007/s12186-023-09340-z",FALSE,FALSE,"Springer Nature","Vocations and Learning","1874-785X","1874-785X","1874-7868","1874-785X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,1973.78,"10.1186/s13690-023-01203-2",FALSE,FALSE,"Springer Nature","Archives of Public Health","2049-3258",NA,"2049-3258","0778-7367","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,2071.41,"10.1038/s41598-023-43961-7",FALSE,FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,2638.74,"10.1038/s43247-023-01054-3",FALSE,FALSE,"Springer Nature","Communications Earth & Environment","2662-4435",NA,"2662-4435","2662-4435","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,4883.76,"10.1002/advs.202306805",FALSE,FALSE,"Wiley-Blackwell","Advanced Science","2198-3844","2198-3844","2198-3844","2198-3844","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"wiley2024deal","04zc7p361_wiley2024deal_2024"
"Kassel U",2024,2332.4,"10.1029/2023gl104630",FALSE,FALSE,"American Geophysical Union (AGU)","Geophysical Research Letters","0094-8276","0094-8276","1944-8007","0094-8276","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"wiley2024deal","04zc7p361_wiley2024deal_2024"
"Kassel U",2024,1985.92,"10.1016/j.polymertesting.2024.108362",FALSE,FALSE,"Elsevier BV","Polymer Testing","0142-9418","0142-9418",NA,"0142-9418","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"els2023deal","04zc7p361_els2023deal_2024"
"Kassel U",2024,1977.36,"10.1016/j.egyr.2024.02.042",FALSE,FALSE,"Elsevier BV","Energy Reports","2352-4847","2352-4847",NA,"2352-4847","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE,"els2023deal","04zc7p361_els2023deal_2024"
"Kassel U",2024,1096.16,"10.1186/s42467-023-00015-y",FALSE,FALSE,"Springer Nature","AI Perspectives & Advances","2948-2143",NA,"2948-2143","2948-2143","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,1020.23,"10.1057/s41599-023-02503-2",FALSE,FALSE,"Springer Nature","Humanities and Social Sciences Communications","2662-9992",NA,"2662-9992","2662-9992","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,1660.05,"10.1186/s13102-024-00858-w",FALSE,FALSE,"Springer Nature","BMC Sports Science, Medicine and Rehabilitation","2052-1847",NA,"2052-1847","2052-1847","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,944.48,"10.1186/s40100-024-00295-w",FALSE,FALSE,"Springer Nature","Agricultural and Food Economics","2193-7532",NA,"2193-7532","2193-7532","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,2099.85,"10.1186/s12302-024-00883-z",FALSE,FALSE,"Springer Nature","Environmental Sciences Europe","2190-4715",NA,"2190-4715","2190-4715","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,3114.41,"10.1080/19585969.2024.2359923",FALSE,FALSE,"Informa UK Limited","Dialogues in Clinical Neuroscience","1958-5969",NA,"1958-5969","1294-8322","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE,"tf2024zbw","04zc7p361_tf2024zbw_2024"
"Kassel U",2024,2134.27,"10.1080/17452759.2024.2358107",FALSE,FALSE,"Informa UK Limited","Virtual and Physical Prototyping","1745-2759","1745-2759","1745-2767","1745-2759","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"tf2024zbw","04zc7p361_tf2024zbw_2024"
"Kassel U",2024,1633.57,"10.1080/26395916.2024.2370531",FALSE,FALSE,"Informa UK Limited","Ecosystems and People","2639-5908","2639-5908","2639-5916","2639-5908","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"tf2024zbw","04zc7p361_tf2024zbw_2024"
"Kassel U",2024,1585.87,"10.1186/s40529-024-00419-x",FALSE,FALSE,"Springer Nature","Botanical Studies","1999-3110",NA,"1999-3110","1817-406X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,1927.71,"10.1038/s41597-024-03128-z",FALSE,FALSE,"Springer Nature","Scientific Data","2052-4463",NA,"2052-4463","2052-4463","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,2811.76,"10.1038/s41531-024-00683-5",FALSE,FALSE,"Springer Nature","npj Parkinson's Disease","2373-8057",NA,"2373-8057","2373-8057","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,5374.05,"10.1038/s41467-024-48687-2",FALSE,FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","04zc7p361_sn2024deal_2024"
"Kassel U",2024,1129.92,"10.1016/j.jmrt.2024.06.043",FALSE,FALSE,"Elsevier BV","Journal of Materials Research and Technology","2238-7854","2238-7854",NA,"2238-7854","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"els2023deal","04zc7p361_els2023deal_2024"
