"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Université Claude Bernard - Lyon I";2023;2769;"10.7554/eLife.80156";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1304,92;"10.3390/cancers15051417";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1945;"10.1038/s41598-022-24420-1";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;4445;"10.1038/s41684-023-01289-9";"TRUE";;;;;;
"Université Claude Bernard - Lyon I";2023;1163;"10.3389/fsoc.2023.1152364";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;4880;"10.1016/j.xcrm.2023.101339";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;4050;"10.26508/lsa.202302009";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1166;"10.3389/fsoc.2023.1148639";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;3350,85;"10.1093/nar/gkad1200";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2596,71;"10.3390/cancers15030973";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2145;"10.1038/s41420-023-01513-y";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;4650;"10.1016/j.celrep.2023.113025";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2977;"10.3389/fcimb.2023.1219233";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1938;"10.1016/j.esmoop.2023.101610";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2500;"10.5271/sjweh.4102";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2345;"10.1186/s12909-023-04724-0";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;3225;"10.3389/fmicb.2023.1137336";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2710;"10.1016/j.diii.2022.12.003";"TRUE";;;;;;
"Université Claude Bernard - Lyon I";2023;3513;"10.1097/RLI.0000000000000965";"TRUE";;;;;;
"Université Claude Bernard - Lyon I";2023;3345;"10.1007/s00330-023-09529-9";"TRUE";;;;;;
"Université Claude Bernard - Lyon I";2023;1952;"10.1364/OE.483937";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2977;"10.3389/fcvm.2023.1136760";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;4100;"10.1016/j.jcin.2023.07.035";"TRUE";;;;;;
"Université Claude Bernard - Lyon I";2023;960;"10.5194/mr-4-87-2023";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1633,03;"10.3390/children10101702";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;3350;"10.1111/desc.13455";"TRUE";;;;;;
"Université Claude Bernard - Lyon I";2023;1805,06;"10.3390/microorganisms11081887";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2530;"10.1111/1751-7915.14336";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1495;"10.3390/antibiotics12020421";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1922;"10.3390/molecules28072912";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2245;"10.1038/S41598-023-44783-3";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1245;"10.1038/s41598-023-28968-4";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;5190;"10.1038/s41467-023-36782-9";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;5190;"10.1038/s41467-023-36395-2";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1694,3;"10.1371/journal.pone.0281931";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1637;"10.1016/j.actatropica.2023.107105";"TRUE";;;;;;
"Université Claude Bernard - Lyon I";2023;2952,56;"10.1016/j.stemcr.2023.09.013";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;613,64;"10.1016/j.onehlt.2021.100368";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1883;"10.3389/fphy.2023.1011062";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2550;"10.1016/j.jbc.2023.105004";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;705;"10.1016/j.isci.2023.107314";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2694,32;"10.3390/s23249625";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;1294,73;"10.1016/j.eti.2023.103468";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;600;"10.52082/jssm.2023.166";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;3500;"10.26508/lsa.202201752";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2381;"10.3389/fbioe.2023.1170768";"FALSE";;;;;;
"Université Claude Bernard - Lyon I";2023;2139;"10.5194/bg-20-1381-2023";"FALSE";;;;;;
