"Period"	"EURO"	"Referenz"	"id"	"reference"	"doi"	"publisher"	"journal"	"ISSN.1"	"ISSN.2"	"link"
	1276	"Zakar R, Zakar MZ, Qureshi S, Fischer F. Harnessing information technology to improve women’s health information: evidence from Pakistan. <em>BMC Women's Health</em>. 2014;14(1):105."	2693877	"Zakar R, Zakar MZ, Qureshi S, Fischer F. Harnessing information technology to improve women’s health information: evidence from Pakistan. <em>BMC Women's Health</em>. 2014;14(1):105."	"10.1186/1472-6874-14-105"	"Springer Science + Business Media"	"BMC Women's Health"	"1472-6874"	"NA"	"http://pub.uni-bielefeld.de/publication/2693877"
	1010	"Lechner M, Hernandez-Rosales M, Dörr D, et al. Orthology Detection Combining Clustering and Synteny for Very Large Datasets. <em>PLOS ONE</em>. 2014;9(8):e105015."	2685362	"Lechner M, Hernandez-Rosales M, Dörr D, et al. Orthology Detection Combining Clustering and Synteny for Very Large Datasets. <em>PLOS ONE</em>. 2014;9(8):e105015."	"10.1371/journal.pone.0105015"	"Public Library of Science (PLoS)"	"PLoS ONE"	"1932-6203"	"NA"	"http://pub.uni-bielefeld.de/publication/2685362"
	1240	"Querengässer J, Schindler S. Sad but true? - How induced emotional states differentially bias self-rated Big Five personality traits. <em>BMC Psychology</em>. 2014;2(1):14."	2685103	"Querengässer J, Schindler S. Sad but true? - How induced emotional states differentially bias self-rated Big Five personality traits. <em>BMC Psychology</em>. 2014;2(1):14."	"10.1186/2050-7283-2-14"	"Springer Science + Business Media"	"BMC Psychol"	"2050-7283"	"NA"	"http://pub.uni-bielefeld.de/publication/2685103"
	1520	"Iffland B, Sansen LM, Catani C, Neuner F. Rapid heartbeat, but dry palms: reactions of heart rate and skin conductance levels to social rejection. <em>Frontiers in Psychology</em>. 2014;5."	2698093	"Iffland B, Sansen LM, Catani C, Neuner F. Rapid heartbeat, but dry palms: reactions of heart rate and skin conductance levels to social rejection. <em>Frontiers in Psychology</em>. 2014;5."	"10.3389/fpsyg.2014.00956"	"Frontiers Media SA"	"Frontiers in Psychology"	"1664-1078"	"NA"	"http://pub.uni-bielefeld.de/publication/2698093"
	1520	"Wesselmeier H, Jansen S, Müller HM. Influences of semantic and syntactic incongruence on readiness potential in turn-end anticipation. <em>Frontiers in Human Neuroscience</em>. 2014;8(296):1–9."	2673305	"Wesselmeier H, Jansen S, Müller HM. Influences of semantic and syntactic incongruence on readiness potential in turn-end anticipation. <em>Frontiers in Human Neuroscience</em>. 2014;8(296):1–9."	"10.3389/fnhum.2014.00296"	"Frontiers Media SA"	"Front. Hum. Neurosci."	"1662-5161"	"NA"	"http://pub.uni-bielefeld.de/publication/2673305"
	912	"Kröber M, Wibberg D, Grosch R, et al. Effect of the strain Bacillus amyloliquefaciens FZB42 on the microbial community in the rhizosphere of lettuce under field conditions analyzed by whole metagenome sequencing. <em>Frontiers in Microbiology</em>. 2014;5."	2678800	"Kröber M, Wibberg D, Grosch R, et al. Effect of the strain Bacillus amyloliquefaciens FZB42 on the microbial community in the rhizosphere of lettuce under field conditions analyzed by whole metagenome sequencing. <em>Frontiers in Microbiology</em>. 2014;5."	"10.3389/fmicb.2014.00252"	"Frontiers Media SA"	"Front. Microbiol."	"1664-302X"	"NA"	"http://pub.uni-bielefeld.de/publication/2678800"
	731,5	"Staniloiu A, Woermann FG, Markowitsch HJ. Impairments in Episodic-Autobiographical Memory and Emotional and Social Information Processing in CADASIL during Mid-Adulthood. <em>Frontiers in Behavioral Neuroscience</em>. 2014;8."	2690049	"Staniloiu A, Woermann FG, Markowitsch HJ. Impairments in Episodic-Autobiographical Memory and Emotional and Social Information Processing in CADASIL during Mid-Adulthood. <em>Frontiers in Behavioral Neuroscience</em>. 2014;8."	"10.3389/fnbeh.2014.00227"	"Frontiers Media SA"	"Frontiers in Behavioral Neuroscience"	"1662-5153"	"NA"	"http://pub.uni-bielefeld.de/publication/2690049"
	1520	"Iffland B, Sansen LM, Catani C, Neuner F. The Trauma of Peer Abuse: Effects of Relational Peer Victimization and Social Anxiety Disorder on Physiological and Affective Reactions to Social Exclusion. <em>Frontiers in Psychiatry</em>. 2014;5."	2668899	"Iffland B, Sansen LM, Catani C, Neuner F. The Trauma of Peer Abuse: Effects of Relational Peer Victimization and Social Anxiety Disorder on Physiological and Affective Reactions to Social Exclusion. <em>Frontiers in Psychiatry</em>. 2014;5."	"10.3389/fpsyt.2014.00026"	"Frontiers Media SA"	"Front. Psychiatry"	"1664-0640"	"NA"	"http://pub.uni-bielefeld.de/publication/2668899"
	1276	"Reiss K, Sauzet O, Breckenkamp J, Spallek J, Razum O. How immigrants adapt their smoking behaviour: comparative analysis among Turkish immigrants in Germany and the Netherlands. <em>BMC Public Health</em>. 2014;14(1):844."	2693889	"Reiss K, Sauzet O, Breckenkamp J, Spallek J, Razum O. How immigrants adapt their smoking behaviour: comparative analysis among Turkish immigrants in Germany and the Netherlands. <em>BMC Public Health</em>. 2014;14(1):844."	"10.1186/1471-2458-14-844"	"Springer Science + Business Media"	"BMC Public Health"	"1471-2458"	"NA"	"http://pub.uni-bielefeld.de/publication/2693889"
	1042	"Meise K, Mueller B, Zein B, Trillmich F. Applicability of Single-Camera Photogrammetry to Determine Body Dimensions of Pinnipeds: Galapagos Sea Lions as an Example. <em>PLoS ONE</em>. 2014;9(7):e101197."	2693625	"Meise K, Mueller B, Zein B, Trillmich F. Applicability of Single-Camera Photogrammetry to Determine Body Dimensions of Pinnipeds: Galapagos Sea Lions as an Example. <em>PLoS ONE</em>. 2014;9(7):e101197."	"10.1371/journal.pone.0101197"	"Public Library of Science (PLoS)"	"PLoS ONE"	"1932-6203"	"NA"	"http://pub.uni-bielefeld.de/publication/2693625"
