"institution","apc","doi","period","is_hybrid","currency","euro"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1500","10.1371/journal.pone.0253004","2021","FALSE","USD","1268.24"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0246201","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0248270","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2500","10.1371/journal.pgen.1009362","2021","FALSE","USD","2113.74"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0249130","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0249756","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2500","10.1371/journal.pgen.1009542","2021","FALSE","USD","2113.74"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0250212","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0251324","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2500","10.1371/journal.ppat.1009637","2021","FALSE","USD","2113.74"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2575","10.1371/journal.pgen.1009560","2021","FALSE","USD","2177.15"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2575","10.1371/journal.pcbi.1009245","2021","FALSE","USD","2177.15"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0254702","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0254539","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0254983","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2575","10.1371/journal.ppat.1009541","2021","FALSE","USD","2177.15"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2500","10.1371/journal.pgen.1009738","2021","FALSE","USD","2113.74"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0257266","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2575","10.1371/journal.pcbi.1009455","2021","FALSE","USD","2177.15"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2420","10.1371/journal.pntd.0009874","2021","FALSE","USD","2046.1"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0258906","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0258739","2021","FALSE","USD","1433.11"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2575","10.1371/journal.ppat.1010241","2021","FALSE","USD","2177.15"
