"institution","apc","doi","period","is_hybrid","currency","euro"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2350","10.1371/journal.pntd.0009059","2020","FALSE","USD","2057.44"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2350","10.1371/journal.pntd.0009073","2020","FALSE","USD","2057.44"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0244153","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0244139","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0243591","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0240614","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2350","10.1371/journal.pntd.0008892","2020","FALSE","USD","2057.44"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0241380","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0240686","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0239847","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0239755","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1595","10.1371/journal.pone.0238229","2020","FALSE","USD","1396.43"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0238204","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0237188","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1595","10.1371/journal.pone.0236803","2020","FALSE","USD","1396.43"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0236796","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0236113","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1695","10.1371/journal.pone.0235850","2020","FALSE","USD","1483.98"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1595","10.1371/journal.pone.0233231","2020","FALSE","USD","1396.43"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1595","10.1371/journal.pone.0232455","2020","FALSE","USD","1396.43"
"Consejo Superior de Investigaciones Cientificas (CSIC)","2350","10.1371/journal.pgen.1008717","2020","FALSE","USD","2057.44"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1595","10.1371/journal.pone.0230264","2020","FALSE","USD","1396.43"
