institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;issn_print;issn_electronic;issn-l;license_ref;indexed_in_CrossRef;pmid;pmcid;ut;url;DOAJ
Zurich University of the Arts;2021;1068.39;10.21091/mppa.2021.3023;TRUE;Science & Medicine;Medical Problems of Performing Artists;NA;NA;1938-2766;0885-1158;CC BY-NC-ND;TRUE;34464966;NA;NA;NA;FALSE
Zurich University of the Arts;2021;2378.26;10.1007/s43615-021-00118-w;TRUE;Springer Nature;Circular Economy and Sustainability;NA;NA;2730-5988;2730-597X;CC BY;TRUE;NA;NA;NA;NA;FALSE
Zurich University of the Arts;2021;1610.52;10.1109/TOH.2021.3060625;TRUE;IEEE;IEEE Transactions on Haptics ;2334-0134;NA;2329-4051;1939-1412;CC BY;TRUE;33606637;NA;NA;NA;FALSE
Zurich University of the Arts;2021;1894.72;10.1109/TOH.2021.3076052;TRUE;IEEE;IEEE Transactions on Haptics ;2334-0134;NA;2329-4051;1939-1412;CC BY;TRUE;33905336;NA;NA;NA;FALSE
