"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"Saarland University","2021","1780,88","10.3390/pharmaceutics13020270",FALSE,"MDPI","Pharmaceutics","1999-4923","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/30759",NA
"Saarland University","2021","1776,61","10.3390/pharmaceutics13030331",FALSE,"MDPI","Pharmaceutics","1999-4923","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/30994",NA
"Saarland University","2021","1502,26","10.3390/ijerph18063174",FALSE,"MDPI","International Journal of Environmental Research and Public Health","1660-4601","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/30999",NA
"Saarland University","2021","1824,16","10.3390/ijms22115984",FALSE,"MDPI","International Journal of Molecular Sciences","1422-0067","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31390",NA
"Saarland University","2021","1931,47","10.3390/molecules26123591",FALSE,"MDPI","Molecules","1420-3049","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31459",NA
"Saarland University","2021","1502,26","10.3390/ma14133473",FALSE,"MDPI","Materials","1996-1944","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31520",NA
"Saarland University","2021","1166,24","10.1049/tje2.12039",FALSE,"Wiley","The Journal of Engineering","2051-3305","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31521",NA
"Saarland University","2021","1738,33","10.3390/met11071131",FALSE,"MDPI","Metals","2075-4701","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31604",NA
"Saarland University","2021","1292,36","10.1145/3460434",FALSE,"ACM","ACM Transactions on Architecture and Code Optimization","1544-3973","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31623",NA
"Saarland University","2021","1873,32","10.3389/frobt.2021.695918",FALSE,"Frontiers","Frontiers in Robotics and AI","2296-9144","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31624",NA
"Saarland University","2021","1931,47","10.3390/biomedicines9081062",FALSE,"MDPI","Biomedicines","2227-9059","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31657",NA
"Saarland University","2021","1931,47","10.3390/microorganisms9081640",FALSE,"MDPI","Microorganisms","2076-2607","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31664",NA
"Saarland University","2021","1931,47","10.3390/app11167456",FALSE,"MDPI","Applied Sciences","2076-3417","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31666",NA
"Saarland University","2021","1822,59","10.1155/2021/6638036",FALSE,"Hindawi","Journal of Analytical Methods in Chemistry","2090-8873","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31778",NA
"Saarland University","2021","1073,03","10.3390/microorganisms9091821",FALSE,"MDPI","Microorganisms","2076-2607","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31801",NA
"Saarland University","2021","1888,54","10.3390/cancers13194937",FALSE,"MDPI","Cancers","2072-6694","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31842",NA
"Saarland University","2021","1931,47","10.3390/cancers13195016",FALSE,"MDPI","Cancers","2072-6694","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31844",NA
"Saarland University","2021","1824,16","10.3390/molecules26195922",FALSE,"MDPI","Molecules","1420-3049","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31851",NA
"Saarland University","2021","1888,54","10.3390/s21196623",FALSE,"MDPI","Sensors","1424-8220","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31853",NA
"Saarland University","2021","1738,33","10.3390/pathogens10101293",FALSE,"MDPI","Pathogens","2076-0817","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31895",NA
"Saarland University","2021","1877,82","10.3390/en14206706",FALSE,"MDPI","Energies","1996-1073","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31910",NA
"Saarland University","2021","523,60","10.1016/j.mex.2021.101498",FALSE,"Elsevier","MethodsX","2215-0161","https://creativecommons.org/licenses/by-nc-nd/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31950",NA
"Saarland University","2021","1584,56","10.1002/cre2.390",FALSE,"Wiley","Clinical and Experimental Dental Research","2057-4347","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31963",NA
"Saarland University","2021","879,54","10.3389/fdgth.2021.730680",FALSE,"Frontiers","Frontiers in Digital Health","2673-253X","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31971",NA
"Saarland University","2021","1866,22","10.3389/fphys.2021.730995",FALSE,"Frontiers","Frontiers in Physiology","1664-042X","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31972",NA
"Saarland University","2021","1690,71","10.1117/1.jbo.26.9.098001",FALSE,"JBO","Journal of Biomedical Optics","1560-2281","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31973",NA
"Saarland University","2021","1837,00","10.1038/s41598-021-89823-y",FALSE,"Scientific Reports","Scientific Reports","2045-2322","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31976",NA
"Saarland University","2021","1458,27","10.1186/s13317-021-00149-1",FALSE,"BMC","Autoimmunity Highlights","2038-3274","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31977",NA
"Saarland University","2021","1009,12","10.1186/s40359-021-00591-w",FALSE,"BMC","BMC Psychology","2050-7283","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31979",NA
"Saarland University","2021","1837,00","10.1038/s41598-021-92901-w",FALSE,"Scientific Reports","Scientific Reports","2045-2322","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31980",NA
"Saarland University","2021","1404,08","10.1186/s40658-021-00385-4",FALSE,"Springer Nature","EJNMMI Physics","2197-7364","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31981",NA
"Saarland University","2021","1931,47","10.3390/cells10113244",FALSE,"MDPI","Cells","2073-4409","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/32039",NA
"Saarland University","2021","297,50","10.14512/rur.80",FALSE,"oekom verlag","Raumforschung und Raumordnung","1869-4179","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/32169",NA
