institution,period,euro,doi,backlist_oa,publisher,book_title,isbn_1,isbn_2,isbn_3
liu,2024,8157.89,10.4324/9781003033271,FALSE,Taylor & Francis,Sweden's Research Aid Policy,9781003033271,,
liu,2024,9488.15,10.51952/9781529230123,FALSE,Bristol university press,Behind the Science: The Invisible Work of Data Management in Big Science,9781529230123,,
