"","repo_id","EURO","Period","Publisher","Journal","doi","issn.1","issn.2","base.url","uni"
"1",23731,1904,2012,"Frontiers Media SA","Front. Psychology","10.3389/fpsyg.2012.00040","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"2",23733,1142.4,2012,"Frontiers Media SA","Frontiers in Systems Neuroscience","10.3389/fnsys.2012.00015","1662-5137",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"3",25863,756.59,2012,"International Scientific Literature","Medical Science Monitor","10.12659/MSM.882463","1234-1010",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"4",25841,1142.4,2012,"Frontiers Media SA","Front. Psychology","10.3389/fpsyg.2012.00265","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"5",25535,575,2012,"Frontiers Media SA","Front. Hum. Neurosci.","10.3389/fnhum.2012.00342","1662-5161",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"6",27512,1142.4,2012,"Frontiers Media SA","Front. Psychology","10.3389/fpsyg.2012.00519","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"7",27515,1046.59,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0052371","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"8",27577,944.57,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0052067","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"9",25533,1110.97,2012,"Baishideng Publishing Group Co., Limited (formerly WJG Press)","WJG","10.3748/wjg.v18.i46.6836","1007-9327",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"10",23792,1076,2012,"Springer Science + Business Media","BMC Cardiovascular Disorders","10.1186/1471-2261-12-17","1471-2261",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"11",23791,1056,2012,"Springer Science + Business Media","BMC Neurosci","10.1186/1471-2202-13-36","1471-2202",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"12",23790,1100,2012,"Springer Science + Business Media","BMC Bioinformatics","10.1186/1471-2105-13-55","1471-2105",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"13",25847,1028,2012,"Springer Science + Business Media","Experimental & Translational Stroke Medicine","10.1186/2040-7378-4-9","2040-7378",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"14",25852,1076,2012,"Springer Science + Business Media","BMC Musculoskeletal Disorders","10.1186/1471-2474-13-65","1471-2474",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"15",26557,1160,2012,"Springer Science + Business Media","Cardiovasc Diabetol","10.1186/1475-2840-11-48","1475-2840",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"16",25840,1096,2012,"Springer Science + Business Media","Cardiovasc Diabetol","10.1186/1475-2840-11-57","1475-2840",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
