"","epub_id","EURO","Period","Publisher","Journal","doi","issn.1","issn.2"
"1","http://epub.uni-regensburg.de/23731",1904,2012,"Frontiers Media SA","Front. Psychology","10.3389/fpsyg.2012.00040","1664-1078",NA
"2","http://epub.uni-regensburg.de/23733",1142.4,2012,"Frontiers Media SA","Frontiers in Systems Neuroscience","10.3389/fnsys.2012.00015","1662-5137",NA
"3","http://epub.uni-regensburg.de/25863",756.59,2012,"International Scientific Literature","Medical Science Monitor","10.12659/msm.882463","1234-1010",NA
"4","http://epub.uni-regensburg.de/25841",1142.4,2012,"Frontiers Media SA","Front. Psychology","10.3389/fpsyg.2012.00265","1664-1078",NA
"5","http://epub.uni-regensburg.de/25535",575,2012,"Frontiers Media SA","Front. Hum. Neurosci.","10.3389/fnhum.2012.00342","1662-5161",NA
"6","http://epub.uni-regensburg.de/27512",1142.4,2012,"Frontiers Media SA","Front. Psychology","10.3389/fpsyg.2012.00519","1664-1078",NA
"7","http://epub.uni-regensburg.de/27515",1046.59,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0052371","1932-6203",NA
"8","http://epub.uni-regensburg.de/27577",944.57,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0052067","1932-6203",NA
"9","http://epub.uni-regensburg.de/25533",1110.97,2012,"Baishideng Publishing Group Co., Limited (formerly WJG Press)","WJG","10.3748/wjg.v18.i46.6836","1007-9327",NA
"10","http://epub.uni-regensburg.de/23792",1076,2012,"Springer Science + Business Media","BMC Cardiovascular Disorders","10.1186/1471-2261-12-17","1471-2261",NA
"11","http://epub.uni-regensburg.de/23791",1056,2012,"Springer Science + Business Media","BMC Neurosci","10.1186/1471-2202-13-36","1471-2202",NA
"12","http://epub.uni-regensburg.de/23790",1100,2012,"Springer Science + Business Media","BMC Bioinformatics","10.1186/1471-2105-13-55","1471-2105",NA
"13","http://epub.uni-regensburg.de/25847",1028,2012,"Springer Science + Business Media","Experimental & Translational Stroke Medicine","10.1186/2040-7378-4-9","2040-7378",NA
"14","http://epub.uni-regensburg.de/25852",1076,2012,"Springer Science + Business Media","BMC Musculoskeletal Disorders","10.1186/1471-2474-13-65","1471-2474",NA
"15","http://epub.uni-regensburg.de/26557",1160,2012,"Springer Science + Business Media","Cardiovasc Diabetol","10.1186/1475-2840-11-48","1475-2840",NA
"16","http://epub.uni-regensburg.de/25840",1096,2012,"Springer Science + Business Media","Cardiovasc Diabetol","10.1186/1475-2840-11-57","1475-2840",NA
"17","http://epub.uni-regensburg.de/25842",1188,2012,"Springer Science + Business Media","Arthritis Research & Therapy","10.1186/ar3852","1478-6354",NA
"18","http://epub.uni-regensburg.de/25860",516,2012,"Springer Science + Business Media","J Med Case Rep","10.1186/1752-1947-6-177","1752-1947",NA
"19","http://epub.uni-regensburg.de/24167",948,2012,"Springer Science + Business Media","Radiat Oncol","10.1186/1748-717x-7-108","1748-717X",NA
"20","http://epub.uni-regensburg.de/25843",572,2012,"Springer Science + Business Media","J Med Case Rep","10.1186/1752-1947-6-209","1752-1947",NA
"21","http://epub.uni-regensburg.de/25858",1292,2012,"Springer Science + Business Media","Biol sex dif","10.1186/2042-6410-3-17","2042-6410",NA
"22","http://epub.uni-regensburg.de/26036",1200,2012,"Springer Science + Business Media","Health and Quality of Life Outcomes","10.1186/1477-7525-10-97","1477-7525",NA
"23","http://epub.uni-regensburg.de/26042",1180,2012,"Springer Science + Business Media","BMC Biophysics","10.1186/2046-1682-5-19","2046-1682",NA
"24","http://epub.uni-regensburg.de/26080",1192,2012,"Springer Science + Business Media","BMC Clin Pathol","10.1186/1472-6890-12-16","1472-6890",NA
"25","http://epub.uni-regensburg.de/26081",1388,2012,"Springer Science + Business Media","Transplant Res","10.1186/2047-1440-1-15","2047-1440",NA
