"Line number","Institution","Date of acceptance","DOI","Publisher","Journal","Type of publication","Article title","Date of publication","Date of APC payment","APC paid (£) including VAT if charged","period","euro","ISBN"
"4064","SOAS","","10.1163/9789004302532","","","Book","Doubts on Avicenna: A Study and Edition of Sharaf al-Dīn al-Masʿūdī’s Commentary on the Isharat","9/29/2015","3/13/2019","3000.00","2015","3493.25",""
"8427","Cardiff University","10/23/2017","","Cornell University Press","n/a","Book","No Useless Mouth: Waging War and Fighting Hunger in the American Revolution","","9/25/2018","14148.72","2017","15821.88",""
