"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"TU Berlin",2019,2340,"10.31244/9783830991793",FALSE,"Waxmann Verlag","Hybrid environments for universities","978-3-8309-4179-8","978-3-8309-4179-8","978-3-8309-9179-3","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,TRUE
"TU Berlin",2019,7500,"10.14361/9783839451977",FALSE,"transcript Verlag","Mikro-Utopien der Architektur","978-3-8376-5197-3","978-3-8376-5197-3","978-3-8394-5197-7","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"TU Berlin",2019,7500,"10.4324/9780367333317",FALSE,"Routledge","Re-thinking Mobility Poverty","978-0-367-33331-7","978-0-367-33330-0","978-0-367-33331-7","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,TRUE
"TU Berlin",2020,7140,"10.14361/9783839454022",FALSE,"transcript Verlag","Am Ende der Globalisierung","978-3-8376-5402-8","978-3-8376-5402-8","978-3-8394-5402-2","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"TU Berlin",2020,7500,"10.14361/9783839455029",FALSE,"transcript Verlag","Monospace and Multiverse","978-3-8376-5502-5","978-3-8376-5502-5","978-3-8394-5502-9","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"TU Berlin",2020,7500,"10.1007/978-3-658-33246-4",FALSE,"Springer Fachmedien Wiesbaden","Accounting and Statistical Analyses for Sustainable Development","978-3-658-33245-7","978-3-658-33245-7","978-3-658-33246-4","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"TU Berlin",2020,5355,"10.1007/978-3-658-33039-2",FALSE,"Springer Fachmedien Wiesbaden","Berufliche Orientierung zwischen Heterogenität und Individualisierung","978-3-658-33038-5","978-3-658-33038-5","978-3-658-33039-2","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"TU Berlin",2020,5081.3,"10.5771/9783748921172",FALSE,"Nomos Verlagsgesellschaft mbH & Co. KG","Unterbringung von Flüchtenden in Deutschland","978-3-7489-2117-2","978-3-7489-2117-2","978-3-7489-2117-2","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"TU Berlin",2020,7140,"10.14361/9783839459263",FALSE,"transcript Verlag","Kinästhetische Interferenzen","978-3-8376-5926-9","978-3-8376-5926-9","978-3-8394-5926-3","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"TU Berlin",2020,5950,"10.14361/9783839457795",FALSE,"transcript Verlag","Denkmalpflege zwischen System und Gesellschaft","978-3-8376-5779-1","978-3-8376-5779-1","978-3-8394-5779-5","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"TU Berlin",2020,7259,"10.14361/9783839455081",FALSE,"transcript Verlag","Affektdramaturgien im Fußballsport","978-3-8376-5508-7","978-3-8376-5508-7","978-3-8394-5508-1","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"TU Berlin",2020,6902,"10.14361/9783839455876",FALSE,"transcript Verlag","Thinking of Space Relationally","978-3-8376-5587-2","978-3-8376-5587-2","978-3-8394-5587-6","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,TRUE
"TU Berlin",2020,11368.5,"10.4324/9780429058097",FALSE,"Routledge","Family Business and Regional Development","978-0-429-05809-7","978-0-367-17861-1","978-0-429-05809-7","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,TRUE
"TU Berlin",2020,11832,"10.1007/978-3-658-32106-2",FALSE,"Springer Fachmedien Wiesbaden","Öffentliche Mobilität","978-3-658-32105-5","978-3-658-32105-5","978-3-658-32106-2","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"TU Berlin",2020,7500,"10.14198/pua.2020.meccon",FALSE,"Publicaciones de la Universidad de Alicante","Principios y aplicaciones de la mecánica de contacto en tribología, fricción y adherencia",NA,NA,NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA
"TU Berlin",2020,7140,"10.14361/9783839454299",FALSE,"transcript Verlag","Hoffnung auf eine bessere Vergangenheit","978-3-8376-5429-5","978-3-8376-5429-5","978-3-8394-5429-9","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"TU Berlin",2020,7380,"10.53171/978-3-9820586-7-2",FALSE,"Urbanophil","Der Streitwert der Denkmale","978-3-9820586-7-2","978-3-9820586-5-8","978-3-9820586-7-2","https://creativecommons.org/licenses/by/4.0/",FALSE,FALSE
"TU Berlin",2020,7500,"10.4324/9780429328732",FALSE,"Routledge","Criminal Futures","978-0-429-32873-2","978-0-367-34926-4","978-0-429-32873-2","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"TU Berlin",2020,7480,"10.53171/978-3-9820586-6-5",FALSE,"Urbanophil","Denkmalwelten und Erbediskurse","978-3-9820586-6-5","978-3-9820586-4-1","978-3-9820586-6-5","https://creativecommons.org/licenses/by/4.0/",FALSE,FALSE
"TU Berlin",2020,7326.74,"10.14279/depositonce-10350",FALSE,"Universitätsverlag der Technischen Universität Berlin","Mind the Fungi","978-3-7983-3169-3","978-3-7983-3168-6","978-3-7983-3169-3","https://creativecommons.org/licenses/by/4.0/",FALSE,TRUE
"TU Berlin",2020,7497,"10.1007/978-3-030-70884-9",FALSE,"Springer International Publishing","Introduction to Central Banking","978-3-030-70883-2","978-3-030-70883-2","978-3-030-70884-9","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"TU Berlin",2020,866.67,"10.1007/978-3-030-66661-3",FALSE,"Springer International Publishing","Market Engineering","978-3-030-66660-6","978-3-030-66660-6","978-3-030-66661-3","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"TU Berlin",2020,6991.25,"10.14361/9783839458921",FALSE,"transcript Verlag","Ikonische Kohärenz","978-3-8376-5892-7","978-3-8376-5892-7","978-3-8394-5892-1","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"TU Berlin",2021,4318.5,"10.14361/9783839461532",FALSE,"transcript Verlag","Die Materialität der Märkte","978-3-8376-6153-8","978-3-8376-6153-8","978-3-8394-6153-2","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"TU Berlin",2021,6902,"10.14361/9783839458679",FALSE,"transcript Verlag","Working Misunderstandings","978-3-8376-5867-5","978-3-8376-5867-5","978-3-8394-5867-9","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
