"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TU Berlin",2023,6394.3,"10.1017/9781009303538",FALSE,"Cambridge University Press","Psychology's WEIRD Problems","978-1-009-30353-8","978-1-009-30351-4","978-1-009-30353-8","https://www.cambridge.org/core/terms",TRUE,FALSE
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TU Berlin",2024,5319.3,"10.3278/9783763976140",FALSE,"wbv Media","Reparaturbildung gestalten","978-3-7639-7614-0",NA,"978-3-7639-7614-0",NA,TRUE,FALSE
"TU Berlin",2023,5250,"10.52038/9783643250995",FALSE,"LIT Verlag","Mobilität und Verkehr","978-3-643-45108-8","978-3-643-45108-8",NA,NA,TRUE,FALSE
"TU Berlin",2023,8925,"10.4324/9781003099727",FALSE,"Routledge","The Evolution of Young People’s Spatial Knowledge","978-1-003-09972-7",NA,"978-1-003-09972-7","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
