institution;period;doi;is_hybrid;euro
MPG;2017;10.1007/s10494-017-9883-1;TRUE;
MPG;2018;10.1007/s11192-018-2658-1;TRUE;
MPG;2017;10.1007/s10071-017-1159-6;TRUE;
MPG;2018;10.1007/s11207-018-1246-0;TRUE;
MPG;2017;10.1007/s00209-017-2037-2;TRUE;
MPG;2017;10.1007/s10208-018-9379-y;TRUE;
MPG;2017;10.1007/s11207-017-1201-5;TRUE;
MPG;2017;10.1007/s00224-017-9840-3;TRUE;
MPG;2018;10.1007/s00221-018-5169-7;TRUE;
MPG;2017;10.3758/s13423-017-1424-3;TRUE;
MPG;2018;10.1007/s00278-018-0271-7;TRUE;
MPG;2017;10.1007/s40687-018-0120-x;TRUE;
MPG;2017;10.1007/s10107-017-1218-4;TRUE;
MPG;2017;10.1007/s11222-017-9798-7;TRUE;
MPG;2017;10.1007/s10680-017-9458-9;TRUE;
MPG;2018;10.1007/s00334-018-0669-8;TRUE;
MPG;2017;10.1007/s11214-017-0459-0;TRUE;
