institution;period;euro;doi;is_hybrid;;;;
Universität Erfurt;2020;2.261,00;10.1136/bmjopen-2019-034869 ;false;;;;
Universität Erfurt;2020;2.188,35;10.2196/15099 ;false;;;;
Universität Erfurt;2020;1.999,00;10.1186/s12911-020-01173-3 ;false;;;;
Universität Erfurt;2020;48,48;10.47305/JLIA2020057a ;false;;;;
Universität Erfurt;2020;48,35;https://e-jlia.com/index.php/jlia/article/view/175;false;;;;
Universität Erfurt;2020;1.382,72;10.1186/s12911-020-01294-9;false;;;;
Universität Erfurt;2020;1.382,72;10.1007/s43621-020-00008-5;false;;;;
Universität Erfurt;2020;1.310,00;10.1016/j.heliyon.2020.e04259;false;;;;
Universität Erfurt;2020;2.994,00;10.1080/02619768.2020.1744557;true;;;;
Universität Erfurt;2020;2.152,59;10.1073/pnas.2011674117;true;;;;
Universität Erfurt;2020;3.213,60;10.1093/fpa/oraa006 ;true;;;;
Universität Erfurt;2020;2.268,30;10.1073/pnas.1919666117 ;true;;;;
Universität Erfurt;2020;268,48;10.1177/1461444820977209;true;;;;
