institution;period;euro;doi;backlist_oa;book_title;isbn_1;isbn_2
Universität Erfurt;2019;1.927,00;10.14361/9783839447253;false;Annäherungen an das Unaussprechliche;9783837647259;9783839447253
Universität Erfurt;2019;3.368,55;10.14220/9783737012287;false;Verbindung halten;9783847112280;9783737012287
