"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Universität Erfurt",2020,7500,"10.1515/9783110580853",FALSE,"De Gruyter","Religious Individualisation","978-3-11-058085-3",NA,"978-3-11-058085-3","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
"Universität Erfurt",2020,595,"10.35468/5773",TRUE,"Verlag Julius Klinkhardt","Perspektiven auf Hochschullernwerkstätten. Wechselspiele zwischen Individuum, Gemeinschaft, Ding und Raum","978-3-7815-2336-4","978-3-7815-2336-4",NA,NA,TRUE,TRUE
"Universität Erfurt",2020,7310.92,"10.1515/9783110641813",FALSE,"De Gruyter","Urban Religion in Late Antiquity","978-3-11-064181-3",NA,"978-3-11-064181-3","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,TRUE
