institution;period;euro;doi;backlist_oa;book_title;isbn;isbn_print;isbn_electronic
Universität Erfurt;2022;4141,20;10.4324/9780429056383 ;false;History, Space and Place;;978-1-138-74221-5;978-0-429-05638-3
Universität Erfurt;2022;3424,00;;false;Russland im Spiegel der Medien;;978-3-7329-0892-9;978-3-7329-9105-1
;;;;;;;;
