institution;period;euro;doi;backlist_oa;book_title;isbn_1;isbn_2
Universität Erfurt;2020;7.500;10.1515/9783110580853 ;false;Religious Individualisation;9783110580013;9783110580853
Universität Erfurt;2020;595;10.35468/5773;true;Perspektiven auf Hochschullernwerkstätten;9783781523364;
Universität Erfurt;2020;7.310,92;10.1515/9783110641813;false;Urban Religion in Late Antiquity;9783110641813;9783110641172
