"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn_1","isbn_2","isbn_3","isbn_4","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"HU Berlin","2020","5500","10.3224/84742486","FALSE","","Problematisierung statt Optimierung?","9783847416302","9783847424864","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2021","8330","10.14361/9783839456279","FALSE","","Handbuch Politische Ökologie","9783839456279","9783837656275","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2022","6748.76","10.3726/b18687","FALSE","","Berlin-Brandenburger Beiträge zur Bildungsforschung 2022","9783631861875","9783631861882","9783631861691","","","","https://creativecommons.org/licenses/by/4.0/","",""
