"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn_1","isbn_2","isbn_3","isbn_4","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"HU Berlin","2020","15080","10.1007/978-3-030-69823-2","FALSE","","Concepts in Action","9783030698232","9783030698225","9783030698256","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","3712.80","10.1515/9783110701876","FALSE","","Atem","9783110701876","9783110701838","","","","","https://creativecommons.org/licenses/by-nc-nd/4.0/","",""
"HU Berlin","2021","3546.20","10.14361/9783839458358","FALSE","","Care trans_formieren","9783839458358","9783837658354","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2021","1980","10.35468/5927","FALSE","","Die ADHS der Sonderpädagogik","9783781559271","9783781524880","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2021","13229.23","10.4324/9781003044789","FALSE","","Islam and Heritage in Europe","9781003044789","9781000369175","9780367751142","9780367491499","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2021","2380","10.5771/9783748925569","FALSE","","Die Substantiierungslast im Zivilprozess","9783748925569","9783848781782","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2021","8072.64","10.30819/5171","FALSE","","Terra Petraea","9783832551711","","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2021","5220","10.1007/978-3-658-35383-4","FALSE","","Partizipation durch Werkstatträte","9783658353834","9783658353827","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2021","6790.00","10.1515/9783110709308","FALSE","","The Lumumba Generation","9783110709308","9783110708691","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2021","7074.55","10.14361/9783839458648","FALSE","","Poetik des Kolibris","9783839458648","9783837658644","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2021","2999.00","10.14361/9783839455777","FALSE","","Pädophilie","9783839455777","9783837655773","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2021","7199.50","10.1628/978-3-16-161064-6","FALSE","","Person und Form","9783161610646","9783161610639","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
