"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn_1","isbn_2","isbn_3","isbn_4","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"HU Berlin","2018","21103.99","10.18452/21257","FALSE","","Photo-Objects","9783945561546","9783945561409","9783945561416","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2019","1946.75","10.35468/9783781557369","FALSE","","Die Entwicklung des Sonderschulwesens in den westdeutschen Ländern","9783781557369","9783781523012","","","","","https://creativecommons.org/licenses/by-nc-sa/4.0/","",""
"HU Berlin","2019","3570","10.18452/19927","FALSE","","Öffentliche Bibliothek 2030","9783883473048","","","","","","https://creativecommons.org/licenses/by-nc-sa/4.0/","",""
"HU Berlin","2019","6232.45","10.17302/GP-9781641891462","FALSE","","Medieval Women, Material Culture, and Power","9781641891455","9781641891462","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2019","5806.01","10.5771/9783748903246","FALSE","","Brexit and the Future of EU Politics","9783748903246","9783848762088","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2019","1500","10.3224/84742300","FALSE","","„Fördern und Fordern“ im Diskurs","9783847423003","","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2019","774.04","10.30819/4972","FALSE","","The F-Word","9783832549725","","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2019","6866.30","10.3726/b16817","FALSE","","Futures Past. Economic Forecasting in the 20th and 21st Century","9783631818695","9783631818701","9783631793169","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2019","7136.04","10.12907/978-3-593-44441-3","FALSE","","Prekäre Arbeit, prekäre Liebe","9783593444413","9783593444406","9783593512402","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2019","9036","10.11116/9789461663184","FALSE","","Across Anthropology","9789461663184","9789461663177","9789462702189","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2019","7351.34","10.1017/9781108873079","FALSE","","Playful Virtual Violence","9781108873079","9781108819435","","","","","https://creativecommons.org/licenses/by-nc/4.0/","",""
"HU Berlin","2019","6664","10.1515/9783110666816","FALSE","","Geistliche Liederdichter zwischen Liturgie und Volkssprache","9783110666816","9783110666786","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","6069","10.31244/9783830990826","FALSE","","Sprachbetrachtung im Literaturunterricht?","9783830990826","9783830940821","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2020","2927.40","10.18452/21523","FALSE","","Disability Studies im deutschsprachigen Raum","9783779953579","9783779960591","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","7140","10.14361/9783839450093","FALSE","","Das Indernet","9783839450093","9783837650099","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","6343.30","10.14361/9783839448816","FALSE","","Imagined Economies – Real Fictions","9783839448816","9783837648812","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","1450","10.36202/9783826072062","FALSE","","Agency","9783826072062","9783826080487","9783826070365","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","6736.73","10.1515/9783110681017","FALSE","","Developing Heritage – Developing Countries","9783110681017","9783110680232","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","5161.68","10.1007/978-3-658-29993-4","FALSE","","Online-Komponenten digitaler Spiele","9783658299934","9783658299927","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","15080","10.1007/978-3-030-58641-6","FALSE","","Familial Feeling","9783030586416","9783030586430","9783030586409","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","3016","10.14361/9783839453520","FALSE","","Beyond the Mirror","9783839453520","9783837653526","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","6604.50","10.14361/9783839453858","FALSE","","Ver-rückte Expertisen","9783839453858","9783837653854","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","9520","10.1515/9783110647044","FALSE","","Cultural Techniques","9783110647044","9783110644562","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","2766.99","10.5771/9783748909491","FALSE","","Digitale Disruption und Recht","9783748909491","9783848768509","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","2017.47","10.1515/9783110715293","FALSE","","Bildzensur","9783110715293","9783110709995","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","4640","10.14361/9783839455036","FALSE","","Co-Parenting und die Zukunft der Liebe","9783839455036","9783837655032","","","","","https://creativecommons.org/licenses/by/4.0/","",""
