institution_name,period,euro,doi,is_hybrid,initial_opt-out
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s10522-020-09890-y,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s10951-020-00643-w,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s12662-020-00663-w,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s10950-020-09936-1,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s00359-020-01425-7,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s10708-020-10183-7,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s11577-020-00677-0,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s00359-020-01411-z,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s11749-020-00720-4,TRUE,optout
Humboldt-Universität zu Berlin,2020,"2721,567677",10.1007/s11609-020-00412-8,TRUE,optout
