"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"HU Berlin",2023,8330,"10.1007/978-3-658-42298-1",FALSE,"Springer Fachmedien Wiesbaden","At Risk of Deprivation","978-3-658-42297-4","978-3-658-42297-4","978-3-658-42298-1","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"HU Berlin",2023,10412.5,"10.1007/978-3-658-43683-4",FALSE,"Springer Fachmedien Wiesbaden","Qualitätsmessung als Prisma","978-3-658-43682-7","978-3-658-43682-7","978-3-658-43683-4","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"HU Berlin",2023,8500,"10.1163/9789004687141",FALSE,"Brill","In the Shadow of War and Empire","978-90-04-68714-1","978-90-04-41674-1","978-90-04-68714-1",NA,TRUE,FALSE
"HU Berlin",2023,6284.3,"10.11647/obp.0367",FALSE,"Open Book Publishers","Misunderstandings","978-1-80064-881-4","978-1-80064-881-4","978-1-80511-138-2","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,FALSE
"HU Berlin",2023,8330,"10.12907/978-3-593-45348-4",FALSE,"Campus Verlag","Eine kritische Theorie der Tugendethik","978-3-593-45348-4",NA,"978-3-593-45348-4","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,FALSE
"HU Berlin",2023,2171.75,"10.13173/9783447118941",FALSE,"Harrassowitz Verlag","Übersetzungsbewegungen","978-3-447-11894-1","978-3-447-11894-1",NA,"https://creativecommons.org/licenses/by-sa/4.0/",TRUE,FALSE
"HU Berlin",2023,7140,"10.14361/9783839464090",FALSE,"transcript Verlag","Doing Diversity in Museums and Heritage","978-3-8376-6409-6","978-3-8376-6409-6","978-3-8394-6409-0","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,TRUE
"HU Berlin",2023,7104.3,"10.14361/9783839466032",FALSE,"transcript Verlag","Reflexionen des stereoskopischen Spielfilms","978-3-8376-6603-8","978-3-8376-6603-8","978-3-8394-6603-2","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"HU Berlin",2023,7193.55,"10.14361/9783839467312",FALSE,"transcript Verlag","Mehrdeutigkeit als literarisches Thema","978-3-8376-6731-8","978-3-8376-6731-8","978-3-8394-6731-2","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"HU Berlin",2023,5355,"10.14361/9783839468340",FALSE,"transcript Verlag","unBinding Bodies - Zur Geschichte des Füßebindens in China","978-3-8376-6834-6","978-3-8376-6834-6","978-3-8394-6834-0","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
