"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"HU Berlin",2020,15080,"10.1007/978-3-030-69823-2",FALSE,"Springer International Publishing","Concepts in Action","978-3-030-69822-5","978-3-030-69822-5","978-3-030-69823-2","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"HU Berlin",2020,3712.8,"10.1515/9783110701876",FALSE,"De Gruyter","Atem / Breath","978-3-11-070187-6",NA,"978-3-11-070187-6","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"HU Berlin",2021,3546.2,"10.14361/9783839458358",FALSE,"transcript Verlag","Care trans_formieren","978-3-8376-5835-4","978-3-8376-5835-4","978-3-8394-5835-8","https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"HU Berlin",2021,1980,"10.35468/5927",FALSE,"Verlag Julius Klinkhardt","Die ADHS der Sonderpädagogik. Zur diskursiven Konstruktion des ,Nicht_Normalen‘ auf der Ebene disziplinärer Wissensbestände","978-3-7815-2488-0","978-3-7815-2488-0",NA,"https://creativecommons.org/licenses/by-sa/4.0/",TRUE,FALSE
"HU Berlin",2021,13229.23,"10.4324/9781003044789",FALSE,"Routledge","Islam and Heritage in Europe","978-1-003-04478-9",NA,"978-1-003-04478-9","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,TRUE
"HU Berlin",2021,2380,"10.5771/9783748925569",FALSE,"Nomos Verlagsgesellschaft mbH & Co. KG","Die Substantiierungslast im Zivilprozess","978-3-7489-2556-9","978-3-7489-2556-9",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,TRUE
"HU Berlin",2021,8072.64,"10.30819/5171",FALSE,"Logos Verlag Berlin","Terra Petraea: The Archaeological Landscape of the Petraean Hinterland from the Hellenistic to the Byzantine Period","978-3-8325-5171-1","978-3-8325-5171-1",NA,"https://creativecommons.org/licenses/by-sa/4.0/",TRUE,TRUE
"HU Berlin",2021,5220,"10.1007/978-3-658-35383-4",FALSE,"Springer Fachmedien Wiesbaden","Partizipation durch Werkstatträte","978-3-658-35382-7","978-3-658-35382-7","978-3-658-35383-4","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"HU Berlin",2021,6790,"10.1515/9783110709308",FALSE,"De Gruyter","The Lumumba Generation","978-3-11-070930-8",NA,"978-3-11-070930-8","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"HU Berlin",2021,7074.55,"10.14361/9783839458648",FALSE,"transcript Verlag","Poetik des Kolibris","978-3-8376-5864-4","978-3-8376-5864-4","978-3-8394-5864-8","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"HU Berlin",2021,2999,"10.14361/9783839455777",FALSE,"transcript Verlag","Pädophilie","978-3-8376-5577-3","978-3-8376-5577-3","978-3-8394-5577-7","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"HU Berlin",2021,7199.5,"10.1628/978-3-16-161064-6",FALSE,"Mohr Siebeck","Person und Form","978-3-16-161064-6",NA,"978-3-16-161064-6","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,FALSE
