institution,period,euro,doi,backlist_oa,publisher,book_title,isbn,isbn_print,isbn_electronic
uu,2024,13494.93,10.1007/978-3-031-53946-6,FALSE,Springer Nature,Perspectives on Paradata,9783031539466,9783031539459,9783031539466
uu,2024,  402.28,10.1515/9783111152578,FALSE,De Gruyter,Secular Schooling in the Long Twentieth Century?,9783111152578,9783111082431,9783111152578
uu,2024, 7558.03,10.1163/9789004703759,TRUE,Brill,Histories of Fetal Knowledge Production in Sweden,9789004703759,9789004536739,9789004703759
uu,2024,12729.19,10.1007/978-3-031-54200-8,FALSE,Springer Nature,The Borders of the European Union in a Conflictual World,9783031542008,9783031541995,9783031542008
