"institution";"period";;"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Université Toulouse - Jean Jaurès";2024;2983,76;"10.3389/fpsyg.2024.1257324";"FALSE";;;;;;
"Université Toulouse - Jean Jaurès";2024;1579;"10.1371/journal.pone.0296409";"FALSE";;;;;;
