"institution","apc","doi","currency","period","is_hybrid","euro"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0CY02379E","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0TA10316K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0CP05425A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0EE02958K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0TC05186A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0CS00870B","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0TC05067A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0NR08662B","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0SM01978J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0CY02399J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0FO02922J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0CY02390F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0CC07309A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0TC05201A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC00307K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0TC05853J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0CC07393H","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0GC04155F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0QM00922A","GBP","2021","TRUE","1861.32"
