"INSTITUTION","PERIOD","EURO","DOI","IS_HYBRID","BACKLIST_OA","BOOK_TITLE"
"SCUOLA NORMALE SUPERIORE",2025,"2548","","FALSE","FALSE","Urbanistica e politica nella Genova di Antico Regime: innovazioni e persistenze"
"SCUOLA NORMALE SUPERIORE",2025,"9862,08","10.5771/9783495991404","FALSE","FALSE","[Chione], Lettere. Saggio introduttivo, edizione critica, traduzione e commento"
"SCUOLA NORMALE SUPERIORE",2025,"7342,56","","FALSE","FALSE","La Transnazionalizzazione della Destra Radicale: 
Identità, Reticoli, Pratiche"
"SCUOLA NORMALE SUPERIORE",2025,"1814,8","10.30682/9791254775059","FALSE","FALSE","Geografia e storia di un mito: Traiettorie romanze della Historia de preliis Alexandri Magni tra XIII e XIV secolo
Studi e testi romanzi XII"
"SCUOLA NORMALE SUPERIORE",2025,"835","","FALSE","FALSE","L'urbanistica di Ancona"
"SCUOLA NORMALE SUPERIORE",2025,"3000","10.30687/QV/1724-188X/2024/01","FALSE","FALSE","Parole in corso, a Venezia e altrove"
"SCUOLA NORMALE SUPERIORE",2025,"5000","10.36174/0000022","FALSE","FALSE","1625, la Repubblica di Genova in guerra. Un episodio della Guerra dei Trent’anni"
