INSTITUTION,PERIOD,EURO,DOI,IS_HYBRID,BACKLIST_OA,BOOK_TITLE
SCUOLA NORMALE SUPERIORE,2024,5735.1,10.1163/9789004714236,FALSE,FALSE,An Invisible Thread: Heresy, Mass Conversions, and Inquisition in the Kingdom of Castile (1449-1559)
SCUOLA NORMALE SUPERIORE,2024,5000,10.52056/9791254696644,FALSE,FALSE,Riabilitare gli italiani : Politiche dell’assistenza post-bellica e costruzione della cittadinanza
SCUOLA NORMALE SUPERIORE,2024,1699.99,10.5281/zenodo.12519157,FALSE,FALSE,La versione greca dell'Historia monachorum in Aegypto : Introduzione, traduzione e note di commento
SCUOLA NORMALE SUPERIORE,2024,2654,10.5281/zenodo.12731560,FALSE,FALSE,Tasso e gli antichi : Ricerche sulla Gerusalemme liberata
SCUOLA NORMALE SUPERIORE,2024,4655,10.36253/979-12-215-0202-2,FALSE,FALSE,Corsi universitari
