institution_ror,institution,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10389-023-01997-z,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00103-023-03716-1,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11553-023-01084-x,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00221-023-06591-z,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00184-023-00903-7,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00451-023-00504-0,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11614-023-00530-6,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00023-023-01369-z,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s12662-023-00904-8,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10961-023-10002-4,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10714-023-03086-8,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s41603-023-00189-7,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1038/s41396-023-01453-6,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
