institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;doaj
TU Wien;2016;1698,15;10.1109/JPHOT.2015.2479411;FALSE;IEEE;IEEE Photonics Journal;1943-0655;TRUE
TU Wien;2016;1304,09;10.1364/OE.24.000918;FALSE;OSA;Optics Express;1094-4087;FALSE
TU Wien;2016;2118,22;10.1364/OE.24.006559;FALSE;OSA;Optics Express;1094-4087;FALSE
TU Wien;2016;2118,22;10.1364/OE.24.006572;FALSE;OSA;Optics Express;1094-4087;FALSE
TU Wien;2016;1565,41;10.3390/rs8050402;FALSE;MDPI;Remote Sensing;2072-4292;TRUE
TU Wien;2016;1322,67;10.1109/ACCESS.2016.2531279;FALSE;IEEE;IEEE Access;2169-3536;TRUE
TU Wien;2016;1759,86;10.1155/2016/4724036;FALSE;Hindawi;Advances in Materials Science and Engineering;1687-8442;TRUE
TU Wien;2016;768,00;10.1186/s40807-016-0034-4;FALSE;Springer Open;Renewables Wind, Water, and Solar;2198-994X ;FALSE
TU Wien;2016;1008,00;10.1186/s13104-016-2232-y;FALSE;BioMed Central;BMC Research Notes;1756-0500;TRUE
TU Wien;2016;1398,00;10.1038/srep33556;FALSE;Nature;Scientific Reports;2045-2322;TRUE
TU Wien;2016;1244,64;10.1049/joe.2016.0242;FALSE;IET Digital Library;Journal of Engineering;2051-3305;TRUE
TU Wien;2016;2192,06;10.1364/OE.24.028958;FALSE;OSA;Optics Express;1094-4087;FALSE
