institution;period;euro;doi;is_hybrid;publisher;journal_full_title;doaj
TU Wien;2017;1791.68;10.3390/ijms18061244;FALSE;MDPI;International Journal of Molecular Sciences;TRUE 
TU Wien;2017;1239.24;10.3390/su9020177;FALSE;MDPI;Sustainability ;TRUE 
TU Wien;2017;2288.41;10.1155/2017/1461835;FALSE;Hindawi Publishing Corporation;Advances in Materials Science and Engineering;TRUE 
TU Wien;2017;590.82;10.1021/acsomega.7b00245;FALSE;ACS;ACS Omega;TRUE 
TU Wien;2017;711.14;10.1039/C7RA00975E;FALSE;RSC;RSC Advances;FALSE
TU Wien;2017;1968.9;10.1155/2017/6152651;FALSE;Hindawi Publishing Corporation;International Journal of Antennas and Propagation;TRUE 
TU Wien;2017;1566;10.1038/s41598-017-02870-2;FALSE;Springer Nature;Scientific Reports;TRUE
TU Wien;2017;1694.49;10.3390/ijms18112367;FALSE;MDPI;International Journal of Molecular Sciences;TRUE
TU Wien;2017;1332.63;10.3390/polym9090442;FALSE;MDPI;Polymers;TRUE 
TU Wien;2017;1566;10.1038/s41598-017-07041-x;FALSE;Springer Nature;Scientific Reports;TRUE
TU Wien;2017;239.69;10.1107/S2056989017011318;FALSE;International Union of Crystallography; Acta Crystallographica Section E : Crystallographic Communications ;TRUE 
TU Wien;2017;1566;10.1038/s41598-017-06364-z;FALSE;Springer Nature;Scientific Reports;TRUE
TU Wien;2017;1203.28;10.1049/joe.2017.0247;FALSE;Institution of Engineering and Technology ;Journal of Engineering, The (JoE) ;TRUE
TU Wien;2017;2243.98;10.1063/1.5001876;FALSE;AIP Publishing;APL Materials;TRUE
TU Wien;2017;239.82;10.1107/S205698901701355X;FALSE;International Union of Crystallography; Acta Crystallographica Section E : Crystallographic Communications ;TRUE 
TU Wien;2017;1008;10.1007/s12544-017-0223-2;FALSE;Springer Open;European Transport Research Review;TRUE
TU Wien;2017;1008;10.1007/s12544-017-0255-7;FALSE;Springer Open;European Transport Research Review;TRUE
TU Wien;2017;849.6;10.1186/s13561-017-0148-4;FALSE;Springer Open;Health Economics Review;TRUE
TU Wien;2017;1675.2;10.1186/s12934-017-0749-y;FALSE;BioMed Central;Microbial Cell Factories;TRUE
TU Wien;2017;1675.2;10.1186/s13568-017-0443-9;FALSE;Springer Open;AMB Express;TRUE
TU Wien;2017;1675.2;10.1186/s12934-017-0768-8;FALSE;BioMed Central;Microbial Cell Factories;TRUE
TU Wien;2017;1108.8;10.1186/s13638-018-1070-0;FALSE;Springer Open;EURASIP Journal on Wireless Communications and Networking;TRUE
