institution;period;euro;doi;is_hybrid;publisher;journal_full_title
TU Wien;2018;1675.2;10.1186/s12896-018-0443-0;FALSE;BioMed Central;BMC Biotechnology
TU Wien;2017;892.8;10.1186/s13705-017-0144-x;FALSE;Springer Open;Energy, Sustainability and Society
TU Wien;2018;1152;10.1186/s13638-018-1336-6;FALSE;Springer Open;EURASIP Journal on Wireless Communications and Networking
TU Wien;2018;1152;10.1186/s13638-018-1239-6;FALSE;Springer Open;EURASIP Journal on Wireless Communications and Networking
TU Wien;2018;1152;10.1186/s13638-018-1238-7;FALSE;Springer Open;EURASIP Journal on Wireless Communications and Networking
TU Wien;2018;1675.2;10.1186/s13568-018-0625-0;FALSE;Springer Open;AMB Express
TU Wien;2018;1675.2;10.1186/s12934-018-0955-2;FALSE;BioMed Central;Microbial Cell Factories
TU Wien;2018;960;10.1186/s40537-018-0162-3;FALSE;Springer Open;Journal of Big Data
TU Wien;2018;1675.2;10.1186/s12934-018-1038-0;FALSE;BioMed Central;Microbial Cell Factories
TU Wien;2018;1525.815;10.3389/fphy.2018.00076;FALSE;Frontiers;Frontiers in Physics
TU Wien;2018;1685.076;10.3390/molecules23030633;FALSE;MDPI;Molecules 
TU Wien;2018;1644;10.1038/s41598-018-28293-1;FALSE;Springer Nature;Scientific Reports
TU Wien;2018;1977.69;10.1155/2018/2423837;FALSE;Hindawi Publishing Corporation;Wireless Communications and Mobile Computing
TU Wien;2018;1649.46;10.3390/s18020414;FALSE;MDPI;Sensors
TU Wien;2018;1614.03;10.3389/feart.2018.00126;FALSE;Frontiers;Frontiers in Earth Science-Cryospheric Sciences
TU Wien;2018;272.67;10.1107/S2056989018006473 ;FALSE;International Union of Crystallography;Acta Crystallographica Section E: Crystallographic Communications
TU Wien;2018;2721.56;10.2196/10986;FALSE;JMIR Publications;Journal of Medical Internet Research
TU Wien;2018;1326.936;10.3390/app8091488;FALSE;MDPI;Applied Sciences
TU Wien;2018;1013.88;10.3390/su10051605;FALSE;MDPI;Sustainability 
TU Wien;2018;1569.69;10.3389/fphy.2018.00125;FALSE;Frontiers;Frontiers in Physics
TU Wien;2018;1644;10.1038/s41598-018-27426-w;FALSE;Springer Nature;Scientific Reports
TU Wien;2018;1475.568;10.3390/en11071902;FALSE;MDPI;Energies
TU Wien;2018;226.72;10.1107/S2056989018010721;FALSE;International Union of Crystallography;Acta Crystallographica Section E: Crystallographic Communications
TU Wien;2018;228.05;10.1107/S2056989018011180;FALSE;International Union of Crystallography;Acta Crystallographica Section E: Crystallographic Communications
TU Wien;2018;1129.104;10.3390/mi9110550;FALSE;MDPI;Micromachines 
TU Wien;2018;1278.132;10.3390/app8081382;FALSE;MDPI;Applied Sciences
TU Wien;2018;1391.532;10.3390/e20080558;FALSE;MDPI;Entropy
TU Wien;2018;2485.815;10.3389/fphys.2018.00815;FALSE;Frontiers;Frontiers in Physiology
TU Wien;2018;292.53;10.1107/S2056989018013567;FALSE;International Union of Crystallography;Acta Crystallographica Section E: Crystallographic Communications
TU Wien;2018;1164.984;10.3390/app8112196;FALSE;MDPI;Applied Sciences
TU Wien;2018;1704.48;10.3390/s18113997;FALSE;MDPI;Sensors
TU Wien;2018;1644;10.1038/s41598-018-35870-x;FALSE;Nature Publishing Group;Scientific Reports
TU Wien;2018;352.8;10.1080/22797254.2018.1478676 ;FALSE;Taylor & Francis;European Journal of Remote Sensing
TU Wien;2018;333.396;10.1080/22797254.2018.1516516;FALSE;Taylor & Francis;European Journal of Remote Sensing 
