"DOI","Institution","period","is_hybrid"
"10.1007/s11249-016-0716-5","Royal Institute of Technology","2016",TRUE
"10.1007/s11434-016-1146-3","Lund University","2016",TRUE
"10.1007/s00249-016-1158-6","Umea University","2016",TRUE
"10.1007/s11663-016-0760-4","Royal Institute of Technology","2016",TRUE
"10.1007/s10726-016-9494-6","Stockholm University","2016",TRUE
"10.1007/s40141-016-0128-3","University of Gothenburg","2016",TRUE
"10.1007/s10823-016-9296-y","Mälardalen University","2016",TRUE
"10.1007/s10071-016-1016-z","Lund University","2016",TRUE
"10.1007/s10107-016-1055-x","Chalmers University of Technology","2016",TRUE
"10.1007/s11249-016-0727-2","Lulea University of Technology","2016",TRUE
"10.1007/s11252-016-0581-x","University of Gothenburg","2016",TRUE
"10.1007/s00421-016-3428-5","Swedish School of Sport and Health Sciences (GIH)","2016",TRUE
"10.1007/s00167-016-4234-7","Karolinska Institute","2016",TRUE
"10.1007/s10865-016-9769-z","Karolinska Institute","2016",TRUE
"10.1007/s10546-016-0190-5","Royal Institute of Technology","2016",TRUE
"10.1007/s10851-016-0677-1","Lund University","2016",TRUE
"10.1007/s10472-016-9521-y","Linköping University","2016",TRUE
"10.1007/s10961-016-9490-7","Karolinska Institute","2016",TRUE
"10.1007/s00223-016-0174-y","Lund University","2016",TRUE
"10.1007/s11135-016-0390-6","Linnaeus University","2016",TRUE
"10.1007/s00769-016-1228-6","Karolinska Institute","2016",TRUE
"10.1007/s00420-016-1156-0","Karolinska Institute","2016",TRUE
"10.1007/s00426-016-0787-9","Stockholm University","2016",TRUE
"10.1007/s00268-016-3632-9","University of Gothenburg","2016",TRUE
"10.1007/s13277-016-5280-y","Malmö University","2016",TRUE
"10.1007/s10822-016-9926-z","University of Gothenburg","2016",TRUE
"10.1007/s00712-016-0503-7","Stockholm University","2016",TRUE
"10.1007/s11864-016-0426-0","Lund University","2016",TRUE
"10.1007/s10854-016-5387-3","Uppsala University","2016",TRUE
"10.1007/s10544-016-0097-4","Royal Institute of Technology","2016",TRUE
"10.1007/s10470-016-0800-7","Lund University","2016",TRUE
"10.1007/s11136-016-1367-6","Umea University","2016",TRUE
"10.1007/s11060-016-2202-1","University of Gothenburg","2016",TRUE
"10.1007/s00464-016-5096-2","University of Gothenburg","2016",TRUE
"10.1007/s11229-016-1155-4","Uppsala University","2016",TRUE
"10.1007/s10433-016-0394-z","Karolinska Institute","2016",TRUE
"10.1007/s11071-016-2994-8","Lulea University of Technology","2016",TRUE
"10.1007/s10669-016-9605-6","Swedish University of Agricultural Sciences","2016",TRUE
"10.1007/s00396-016-3927-2","Lund University","2016",TRUE
"10.1007/s13164-016-0318-z","Lund University","2016",TRUE
"10.1007/s10342-016-0981-8","Swedish University of Agricultural Sciences","2016",TRUE
"10.1007/s40889-016-0026-7","Stockholm University","2016",TRUE
"10.1007/s00405-016-4239-3","Örebro University","2016",TRUE
"10.1007/s00181-016-1133-1","Uppsala University","2016",TRUE
"10.1007/s00784-016-1939-4","Karolinska Institute","2016",TRUE
"10.1007/s00259-016-3476-4","Karolinska Institute","2016",TRUE
"10.1007/s00382-016-3299-9","Stockholm University","2016",TRUE
"10.1007/s11663-016-0768-9","Royal Institute of Technology","2016",TRUE
"10.1007/s10706-016-0069-8","Royal Institute of Technology","2016",TRUE
"10.1007/s00167-016-4270-3","Karolinska Institute","2016",TRUE
