"DOI","Institution","period","is_hybrid"
"10.1007/s00009-017-0872-3","Lulea University of Technology","2017","TRUE"
"10.1007/s00018-017-2494-0","Lund University","2017","TRUE"
"10.1007/s00018-017-2498-9","Stockholm University","2017","TRUE"
"10.1007/s00018-017-2503-3","Stockholm University","2017","TRUE"
"10.1007/s00020-017-2357-y","Stockholm University","2017","TRUE"
"10.1007/s00039-017-0400-4","Lund University","2017","TRUE"
"10.1007/s00041-017-9533-y","Lund University","2017","TRUE"
"10.1007/s00048-017-0160-0","Royal Institute of Technology","2017","TRUE"
"10.1007/s00066-017-1106-0","Chalmers University of Technology","2017","TRUE"
"10.1007/s00068-017-0778-6","University of Gothenburg","2017","TRUE"
"10.1007/s00068-017-0779-5","Örebro University","2017","TRUE"
"10.1007/s00125-017-4263-x","Linköping University","2017","TRUE"
"10.1007/s00134-017-4773-5","Karolinska Institute","2017","TRUE"
"10.1007/s00158-017-1679-3","Örebro University","2017","TRUE"
"10.1007/s00167-017-4442-9","University of Gothenburg","2017","TRUE"
"10.1007/s00167-017-4517-7","University of Gothenburg","2017","TRUE"
"10.1007/s00167-017-4521-y","University of Gothenburg","2017","TRUE"
"10.1007/s00167-017-4528-4","Umea University","2017","TRUE"
"10.1007/s00170-017-0214-4","Chalmers University of Technology","2017","TRUE"
"10.1007/s00191-017-0491-y","Lund University","2017","TRUE"
"10.1007/s00198-017-3981-8","University of Gothenburg","2017","TRUE"
"10.1007/s00198-017-4004-5","Malmö University","2017","TRUE"
"10.1007/s00209-017-1877-0","Linköping University","2017","TRUE"
"10.1007/s00216-017-0284-z","Karolinska Institute","2017","TRUE"
"10.1007/s00223-017-0259-2","Linköping University","2017","TRUE"
"10.1007/s00226-017-0896-7","Chalmers University of Technology","2017","TRUE"
"10.1007/s00228-017-2218-2","Umea University","2017","TRUE"
"10.1007/s00228-017-2236-0","Karolinska Institute","2017","TRUE"
"10.1007/s00233-017-9866-5","Uppsala University","2017","TRUE"
"10.1007/s00246-017-1593-x","Lund University","2017","TRUE"
"10.1007/s00253-017-8211-y","Lund University","2017","TRUE"
"10.1007/s00259-017-3650-3","Uppsala University","2017","TRUE"
"10.1007/s00259-017-3678-4","Lund University","2017","TRUE"
"10.1007/s00268-017-3935-5","Örebro University","2017","TRUE"
"10.1007/s00268-017-3961-3","Karolinska Institute","2017","TRUE"
"10.1007/s00268-017-3987-6","University of Gothenburg","2017","TRUE"
"10.1007/s00268-017-4000-0","Lund University","2017","TRUE"
"10.1007/s00340-017-6681-3","Lund University","2017","TRUE"
"10.1007/s00359-017-1165-9","Lund University","2017","TRUE"
"10.1007/s00396-017-4052-6","Lund University","2017","TRUE"
