"DOI","period","Institution","is_hybrid"
"10.1007/s40839-017-0036-6","2017","University West","TRUE"
"10.1007/s11244-017-0814-0","2017","Lund University","TRUE"
"10.1007/s11069-017-2933-0","2017","Swedish Defence Research Agency","TRUE"
"10.1007/s11219-017-9373-7","2017","Blekinge Institute of Technology","TRUE"
"10.1007/s12186-017-9181-z","2017","Linköping University","TRUE"
"10.1007/s10479-017-2542-z","2017","Lund University","TRUE"
"10.1007/s11192-017-2407-x","2017","Umea University","TRUE"
"10.1007/s11244-017-0812-2","2017","Lund University","TRUE"
"10.1007/s10113-017-1166-9","2017","Lund University","TRUE"
"10.1007/s00294-017-0710-y","2017","Uppsala University","TRUE"
"10.1007/s11409-017-9172-3","2017","Stockholm University","TRUE"
"10.1007/s10654-017-0264-9","2017","Karolinska Institute","TRUE"
"10.1007/s10508-017-0978-5","2017","Lund University","TRUE"
"10.1007/s11244-017-0827-8","2017","Lund University","TRUE"
"10.1007/s10151-017-1637-5","2017","Lund University","TRUE"
"10.1007/s10750-017-3246-8","2017","Karlstad University","TRUE"
"10.1007/s10586-017-0899-z","2017","Royal Institute of Technology","TRUE"
"10.1007/s10618-017-0510-5","2017","Linköping University","TRUE"
"10.1007/s11882-017-0709-y","2017","Karolinska Institute","TRUE"
"10.1007/s00227-017-3168-z","2017","Stockholm University","TRUE"
"10.1007/s10519-017-9851-5","2017","Jönköping University","TRUE"
"10.1007/s12369-017-0411-1","2017","Halmstad University","TRUE"
"10.1007/s10654-017-0261-z","2017","Karolinska Institute","TRUE"
"10.1007/s12053-017-9528-1","2017","Linköping University","TRUE"
"10.1007/s00125-017-4308-1","2017","Lund University","TRUE"
"10.1007/s11165-016-9593-z","2017","Uppsala University","TRUE"
"10.1007/s11096-017-0488-5","2017","Umea University","TRUE"
"10.1007/s11127-017-0458-4","2017","Lund University","TRUE"
"10.1007/s11270-017-3392-7","2017","Swedish University of Agricultural Sciences","TRUE"
"10.1007/s10843-017-0201-8","2017","Halmstad University","TRUE"
"10.1007/s12155-017-9836-5","2017","Swedish University of Agricultural Sciences","TRUE"
"10.1007/s11071-017-3560-8","2017","Blekinge Institute of Technology","TRUE"
"10.1007/s12117-017-9310-y","2017","Stockholm University","TRUE"
"10.1007/s11102-017-0811-0","2017","University of Gothenburg","TRUE"
"10.1007/s11120-017-0400-0","2017","Umea University","TRUE"
"10.1007/s00148-017-0648-x","2017","Linnaeus University","TRUE"
"10.1007/s11085-017-9782-9","2017","Chalmers University of Technology","TRUE"
"10.1007/s11191-017-9895-1","2017","Uppsala University","TRUE"
"10.1007/s10549-017-4306-5","2017","Lund University","TRUE"
"10.1007/s00251-017-0993-7","2017","Lund University","TRUE"
"10.1007/s10776-017-0357-0","2017","Mid Sweden University","TRUE"
"10.1007/s11356-017-9245-5","2017","Lund University","TRUE"
"10.1007/s11116-017-9781-3","2017","Karlstad University","TRUE"
"10.1007/s00020-017-2378-6","2017","Umea University","TRUE"
"10.1007/s40266-017-0469-3","2017","Karolinska Institute","TRUE"
"10.1007/s11422-016-9794-9","2017","Stockholm University","TRUE"
"10.1007/s41465-017-0028-1","2017","Linköping University","TRUE"
"10.1007/s13752-017-0265-7","2017","Karolinska Institute","TRUE"
"10.1007/s00253-017-8310-9","2017","Chalmers University of Technology","TRUE"
"10.1007/s10389-017-0809-0","2017","Karlstad University","TRUE"
"10.1007/s40136-017-0152-6","2017","Lund University","TRUE"
"10.1007/s10849-017-9252-4","2017","Lund University","TRUE"
"10.1007/s10549-017-4294-5","2017","Uppsala University","TRUE"
"10.1007/s10940-017-9355-8","2017","Lund University","TRUE"
"10.1007/s00383-017-4093-4","2017","Karolinska Institute","TRUE"
"10.1007/s11306-017-1213-z","2017","Uppsala University","TRUE"
"10.1007/s00484-017-1363-8","2017","Umea University","TRUE"
"10.1007/s10198-017-0895-5","2017","Lund University","TRUE"
"10.1007/s11249-017-0864-2","2017","Lulea University of Technology","TRUE"
