"DOI","period","institution","is_hybrid"
"10.1007/s11213-021-09589-2",2022,"Jönköping University",TRUE
"10.1007/s00784-021-04356-y",2022,"Karolinska Institute",TRUE
"10.1007/s12104-021-10062-3",2022,"Umea University",TRUE
"10.1007/s40429-021-00403-6",2022,"Umea University",TRUE
"10.1007/s43546-021-00185-z",2022,"Jönköping University",TRUE
"10.1007/s10457-021-00727-2",2022,"University of Gothenburg",TRUE
"10.1007/s00420-021-01828-2",2022,"University of Gothenburg",TRUE
"10.1007/s13762-021-03887-x",2022,"Linnaeus University",TRUE
"10.1007/s00170-021-08605-y",2022,"University of Gävle",TRUE
"10.1007/s00262-021-03139-4",2022,"Uppsala University",TRUE
"10.1007/s40520-021-02066-9",2022,"Lund University",TRUE
"10.1007/s11668-022-01337-5",2022,"University West",TRUE
"10.1007/s10334-021-00995-0",2022,"Lund University",TRUE
"10.1007/s10578-022-01316-9",2022,"Uppsala University",TRUE
"10.1007/s00427-022-00684-5",2022,"Uppsala University",TRUE
"10.1007/s43615-022-00150-4",2022,"RISE Research Institutes of Sweden",TRUE
"10.1007/s13412-021-00743-9",2022,"Lund University",TRUE
"10.1007/s00766-021-00370-4",2022,"RISE Research Institutes of Sweden",TRUE
"10.1007/s10853-022-06878-6",2022,"University West",TRUE
"10.1038/s41393-022-00752-7",2022,"Karolinska Institute",TRUE
"10.1007/s11846-022-00521-z",2022,"Lulea University of Technology",TRUE
"10.14283/jpad.2022.4",2022,"Karolinska Institute",TRUE
"10.14283/jpad.2022.9",2022,"Karolinska Institute",TRUE
"10.1038/s41416-022-01701-0",2022,"Karolinska Institute",TRUE
"10.1007/s00402-022-04336-1",2022,"Linköping University",TRUE
"10.1007/s00018-022-04128-1",2022,"Uppsala University",TRUE
"10.1007/s10584-022-03306-1",2022,"Swedish University of Agricultural Sciences",TRUE
"10.1007/s11695-022-05908-1",2022,"Karolinska Institute",TRUE
"10.1007/s10896-022-00365-x",2022,"Uppsala University",TRUE
"10.1007/s10389-021-01689-6",2022,"Mid Sweden University",TRUE
"10.1007/s13399-022-02326-2",2022,"Lulea University of Technology",TRUE
"10.1007/s00420-022-01833-z",2022,"University of Gothenburg",TRUE
"10.1007/s00440-021-01101-0",2022,"Royal Institute of Technology",TRUE
"10.1007/s10163-022-01351-7",2022,"Royal Institute of Technology",TRUE
"10.1007/s40194-022-01253-0",2022,"University West",TRUE
"10.1007/s13324-022-00647-z",2022,"Linköping University",TRUE
"10.1007/s10111-022-00695-2",2022,"Linköping University",TRUE
"10.1007/s10875-021-01201-5",2022,"University of Gothenburg",TRUE
"10.1007/s10353-021-00745-5",2022,"Karolinska Institute",TRUE
"10.1007/s40258-021-00713-w",2022,"Karolinska Institute",TRUE
"10.1007/s10826-022-02234-z",2022,"Karlstad University",TRUE
"10.1057/s41267-022-00502-0",2022,"University of Gothenburg",TRUE
"10.1007/s00520-021-06769-7",2022,"University of Gothenburg",TRUE
"10.1007/s12602-022-09913-9",2022,"Umea University",TRUE
"10.1007/s10654-021-00840-7",2022,"Karolinska Institute",TRUE
"10.1007/s10615-022-00833-3",2022,"Malmö University",TRUE
"10.1007/s11695-022-05912-5",2022,"Örebro University",TRUE
"10.1007/s00198-022-06312-2",2022,"University of Gothenburg",TRUE
"10.1007/s00281-022-00912-0",2022,"Karolinska Institute",TRUE
"10.1007/s12144-022-02730-x",2022,"Mid Sweden University",TRUE
"10.1007/s10875-022-01215-7",2022,"Karolinska Institute",TRUE
"10.1007/s10915-021-01756-w",2022,"Uppsala University",TRUE
"10.1007/s13280-022-01703-5",2022,"Uppsala University",TRUE
"10.1007/s13280-022-01701-7",2022,"Stockholm University",TRUE
"10.1007/s11336-021-09837-3",2022,"Uppsala University",TRUE
"10.1007/s12220-021-00857-0",2022,"Umea University",TRUE
"10.1007/s11625-022-01090-6",2022,"Umea University",TRUE
"10.1007/s10578-022-01320-z",2022,"Uppsala University",TRUE
"10.1007/s13563-022-00299-2",2022,"Lulea University of Technology",TRUE
"10.1007/s00592-022-01852-9",2022,"Linköping University",TRUE
"10.1007/s11103-022-01244-1",2022,"Swedish University of Agricultural Sciences",TRUE
"10.1007/s10815-022-02402-6",2022,"Karolinska Institute",TRUE
"10.1007/s10877-022-00820-6",2022,"Uppsala University",TRUE
"10.1007/s10886-021-01347-x",2022,"Swedish University of Agricultural Sciences",TRUE
"10.1038/s41409-022-01582-0",2022,"Karolinska Institute",TRUE
"10.1007/s10798-022-09730-9",2022,"Linnaeus University",TRUE
"10.1007/s41651-021-00097-4",2022,"Lund University",TRUE
"10.1007/s00442-022-05107-w",2022,"Stockholm University",TRUE
"10.1007/s00198-021-06224-7",2022,"University of Gothenburg",TRUE
"10.1007/s13437-022-00263-5",2022,"Linnaeus University",TRUE
"10.1007/s11250-022-03092-z",2022,"Swedish University of Agricultural Sciences",TRUE
"10.1007/s12152-022-09484-0",2022,"Uppsala University",TRUE
"10.1007/s00163-022-00384-1",2022,"Blekinge Institute of Technology",TRUE
"10.1007/s10071-022-01598-5",2022,"Linköping University",TRUE
"10.1007/s10654-022-00842-z",2022,"Karolinska Institute",TRUE
"10.1007/s00209-021-02961-x",2022,"Royal Institute of Technology",TRUE
"10.1007/s10503-021-09562-2",2022,"Södertörn University",TRUE
"10.1007/s13304-021-01211-3",2022,"Karolinska Institute",TRUE
"10.1007/s12134-021-00932-z",2022,"Linköping University",TRUE
"10.1007/s10834-022-09817-4",2022,"Södertörn University",TRUE
"10.1007/s10570-022-04447-3",2022,"Royal Institute of Technology",TRUE
"10.1007/s10841-022-00382-7",2022,"Swedish University of Agricultural Sciences",TRUE
"10.1007/s00374-022-01623-2",2022,"Lund University",TRUE
"10.1038/s41443-022-00535-x",2022,"Malmö University",TRUE
"10.1007/s10803-022-05466-6",2022,"Karolinska Institute",TRUE
"10.1007/s11186-022-09474-4",2022,"Örebro University",TRUE
"10.1007/s00216-022-03949-0",2022,"RISE Research Institutes of Sweden",TRUE
"10.1007/s00167-022-06884-w",2022,"Lund University",TRUE
"10.1007/s10973-022-11250-6",2022,"Malmö University",TRUE
"10.1007/s13280-022-01704-4",2022,"University of Gothenburg",TRUE
"10.1007/s10694-022-01213-6",2022,"RISE Research Institutes of Sweden",TRUE
"10.1007/s12144-022-02815-7",2022,"Jönköping University",TRUE
"10.1007/s13324-022-00650-4",2022,"Royal Institute of Technology",TRUE
"10.1007/s40519-022-01370-1",2022,"Uppsala University",TRUE
"10.1007/s00766-022-00373-9",2022,"RISE Research Institutes of Sweden",TRUE
"10.1007/s10803-021-05378-x",2022,"Uppsala University",TRUE
"10.1007/s00766-022-00371-x",2022,"Blekinge Institute of Technology",TRUE
"10.1007/s11686-022-00521-9",2022,"Uppsala University",TRUE
"10.1007/s00792-022-01260-5",2022,"Swedish University of Agricultural Sciences",TRUE
"10.1038/s41416-022-01699-5",2022,"Karolinska Institute",TRUE
"10.1007/s00421-022-04892-9",2022,"University of Gothenburg",TRUE
"10.1007/s13412-021-00744-8",2022,"Linköping University",TRUE
"10.1007/s00420-022-01831-1",2022,"Stockholm University",TRUE
"10.1007/s00590-022-03215-0",2022,"Karolinska Institute",TRUE
"10.1007/s13399-022-02408-1",2022,"University of Boras",TRUE
"10.1007/s11356-022-19078-1",2022,"Chalmers University of Technology",TRUE
"10.1007/s41614-022-00065-5",2022,"Umea University",TRUE
"10.1007/s00005-022-00646-9",2022,"Karolinska Institute",TRUE
"10.1007/s43032-022-00876-4",2022,"Uppsala University",TRUE
"10.1007/s10670-022-00515-z",2022,"Stockholm University",TRUE
"10.1007/s12104-022-10071-w",2022,"Swedish University of Agricultural Sciences",TRUE
"10.1057/s41269-022-00233-y",2022,"Örebro University",TRUE
"10.1007/s10608-022-10295-z",2022,"Karolinska Institute",TRUE
"10.1140/epja/s10050-022-00676-z",2022,"Uppsala University",TRUE
"10.1007/s10670-022-00520-2",2022,"Lund University",TRUE
"10.1007/s00228-022-03284-4",2022,"Umea University",TRUE
"10.1007/s11229-022-03460-0",2022,"Umea University",TRUE
"10.1007/s11042-022-12065-1",2022,"RISE Research Institutes of Sweden",TRUE
"10.1038/s41379-022-01012-y",2022,"Lund University",TRUE
"10.1007/s00223-022-00954-4",2022,"Umea University",TRUE
"10.1007/s10120-022-01282-0",2022,"Karolinska Institute",TRUE
"10.1007/s11042-022-12536-5",2022,"Uppsala University",TRUE
"10.1007/s42438-022-00291-7",2022,"Umea University",TRUE
"10.1007/s00442-022-05126-7",2022,"Lund University",TRUE
"10.1007/s10006-022-01048-z",2022,"Umea University",TRUE
"10.1007/s10009-022-00647-1",2022,"Mälardalen University",TRUE
"10.1007/s40519-022-01374-x",2022,"Sophiahemmet University College",TRUE
"10.1007/s10344-022-01561-2",2022,"Swedish University of Agricultural Sciences",TRUE
