"institution_ror","institution","period","euro","doi","is_hybrid","type","contract_primary_identifier","contract_invoice_id","gold-oa","vat","colour charge","cover charge","hybrid-oa","other","page charge","permission","publication charge","reprint","submission fee","payment fee","url"
"https://ror.org/01js2sh04","desy","2017","2821.94","10.1021/am507727f",TRUE,"journal article",NA,NA,NA,NA,NA,NA,"2821.94",NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:207699"
"https://ror.org/01js2sh04","desy","2016","1262.9","10.1103/physrevx.5.011015",FALSE,"journal article",NA,NA,"1262.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:207840"
"https://ror.org/01js2sh04","desy","2017","1262.39","10.1364/ome.5.000748",FALSE,"journal article",NA,NA,"1262.39",NA,NA,NA,NA,"32.73",NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:208134"
"https://ror.org/01js2sh04","desy","2017","922.59","10.1107/s1600577515005937",TRUE,"journal article",NA,NA,NA,NA,NA,NA,"922.59",NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:220667"
"https://ror.org/01js2sh04","desy","2017","898.8","10.1107/s1600577515005524",TRUE,"journal article",NA,NA,NA,NA,NA,NA,"898.8",NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:221210"
"https://ror.org/01js2sh04","desy","2016","2710.26","10.1126/sciadv.1500751",FALSE,"journal article",NA,NA,"2710.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:276591"
"https://ror.org/01js2sh04","desy","2017","1737.16","10.1364/oe.24.006507",FALSE,"journal article",NA,NA,"1737.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:292665"
"https://ror.org/01js2sh04","desy","2016","1165.0","10.1038/srep18068",FALSE,"journal article",NA,NA,"1165.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:292834"
"https://ror.org/01js2sh04","desy","2017","2821.94","10.1021/acsami.5b02901",TRUE,"journal article",NA,NA,NA,NA,NA,NA,"2821.94",NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:292942"
"https://ror.org/01js2sh04","desy","2017","918.44","10.1107/s1600577515022997",TRUE,"conference paper",NA,NA,NA,NA,NA,NA,"918.44",NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:293400"
"https://ror.org/01js2sh04","desy","2017","918.44","10.1107/s1600577515023127",TRUE,"conference paper",NA,NA,NA,NA,NA,NA,"918.44",NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:293401"
"https://ror.org/01js2sh04","desy","2017","914.66","10.1107/s1600577515022675",TRUE,"conference paper",NA,NA,NA,NA,NA,NA,"914.66",NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:293402"
"https://ror.org/01js2sh04","desy","2017","1051.53","10.1107/s2052252514024269",FALSE,"journal article",NA,NA,"1051.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:293588"
"https://ror.org/01js2sh04","desy","2017","1165.0","10.1038/srep22767",FALSE,"journal article",NA,NA,"1165.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:296137"
"https://ror.org/01js2sh04","desy","2016","1963.0","10.1016/j.nima.2016.02.080",TRUE,"journal article",NA,NA,NA,NA,"1960.0",NA,"1963.0",NA,NA,NA,NA,NA,NA,NA,"oai:bib-pubdb1.desy.de:296138"
