"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"desy","2023","2720","10.1093/mnras/stad1237",TRUE,"Oxford Univ. Press","Monthly notices of the Royal Astronomical Society","0035-8711","CCBY4",NA,"oai:bib-pubdb1.desy.de:582399","PUBDB-2023-01945"
"desy","2023","1880","10.1107/s1600577523008603",FALSE,"Wiley-Blackwell","Journal of synchrotron radiation","0909-0495","CCBY4",NA,"oai:bib-pubdb1.desy.de:583605","PUBDB-2023-02963"
"desy","2023","2515.56","10.3389/fphy.2023.1231336",FALSE,"Frontiers Media","Frontiers in physics","2296-424X","CCBY4",NA,"oai:bib-pubdb1.desy.de:584402","PUBDB-2023-03117"
"desy","2023","2750","10.1002/anie.202308273",TRUE,"Wiley-VCH","Angewandte Chemie / International edition","1433-7851","CCBY4",NA,"oai:bib-pubdb1.desy.de:585407","PUBDB-2023-03555"
"desy","2023","2290.1","10.3847/2041-8213/acd2c9",FALSE,"Institute of Physics Publ.","The astrophysical journal / 2","2041-8205","CCBY4",NA,"oai:bib-pubdb1.desy.de:585987","PUBDB-2023-03726"
"desy","2023","2450","10.1016/j.nima.2023.168442",TRUE,"North-Holland Publ. Co.","Nuclear instruments & methods in physics research / A","1872-9576","CCBY4",NA,"oai:bib-pubdb1.desy.de:586013","PUBDB-2023-03740"
"desy","2023","2500.77","10.3847/1538-4357/acf615",FALSE,"Institute of Physics Publ.","The astrophysical journal / Part 1","0004-637X","CCBY4",NA,"oai:bib-pubdb1.desy.de:586298","PUBDB-2023-03852"
"desy","2023","3350","10.1016/j.cpc.2023.108825",TRUE,"North Holland Publ. Co.","Computer physics communications","0010-4655","CCBY4",NA,"oai:bib-pubdb1.desy.de:586789","PUBDB-2023-04003"
"desy","2023","2543.31","10.1063/4.0000206",FALSE,"AIP Publishing LLC","Structural dynamics","2329-7778","CCBY4",NA,"oai:bib-pubdb1.desy.de:587908","PUBDB-2023-04604"
"desy","2023","2874.27","10.1039/d3dt02067c",TRUE,"Soc.","Dalton transactions","0300-9246","CCBYNC4",NA,"oai:bib-pubdb1.desy.de:588610","PUBDB-2023-04837"
"desy","2023","2982.61","10.3389/fchem.2023.1257942",FALSE,"Frontiers Media","Frontiers in Chemistry","2296-2646","CCBY4",NA,"oai:bib-pubdb1.desy.de:588620","PUBDB-2023-04844"
"desy","2023","2451.75","10.3847/1538-4357/acdfcb",FALSE,"Institute of Physics Publ.","The astrophysical journal / Part 1","0004-637X","CCBY4",NA,"oai:bib-pubdb1.desy.de:593688","PUBDB-2023-05489"
"desy","2023","1740.68","10.1038/s41598-023-42943-z",FALSE,"Macmillan Publishers Limited, part of Springer Nature","Scientific reports","2045-2322","CCBY4",NA,"oai:bib-pubdb1.desy.de:594442","PUBDB-2023-05826"
"desy","2023","462.42","10.1107/s2056989023009209",FALSE,"International Union of Crystallography","Acta crystallographica / Section E","1600-5368","CCBY4",NA,"oai:bib-pubdb1.desy.de:596785","PUBDB-2023-06275"
"desy","2023","2072","10.1007/s41781-023-00109-6",FALSE,"Springer International Publishing","Computing and software for big science","2510-2036","CCBY4",NA,"oai:bib-pubdb1.desy.de:600337","PUBDB-2023-07901"
"desy","2023","1271.65","10.1063/5.0170224",FALSE,"AIP Publishing","APL photonics","2378-0967","CCBY4",NA,"oai:bib-pubdb1.desy.de:600400","PUBDB-2023-07957"
