pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Deutsches Elektronen-Synchrotron (DESY);Applied Physics B;1432-0649;10.1007/s00340-021-07746-y;https://doi.org/10.1007/s00340-021-07746-y;09.01.2022;20.12.2021;2750;originalpaper;Research Article;optin
2;Deutsches Elektronen-Synchrotron (DESY);Communications in Mathematical Physics;1432-0916;10.1007/s00220-022-04569-6;https://doi.org/10.1007/s00220-022-04569-6;10.12.2022;08.11.2022;2750;originalpaper;Research Article;optin
3;Deutsches Elektronen-Synchrotron (DESY);The European Physical Journal Plus;2190-5444;10.1140/epjp/s13360-021-01848-4;https://doi.org/10.1140/epjp/s13360-021-01848-4;13.01.2022;07.08.2021;2750;originalpaper;Research Article;optin
4;Deutsches Elektronen-Synchrotron (DESY);Communications in Mathematical Physics;1432-0916;10.1007/s00220-022-04579-4;https://doi.org/10.1007/s00220-022-04579-4;14.12.2022;15.11.2022;2750;originalpaper;Research Article;optin
5;Deutsches Elektronen-Synchrotron (DESY);Annales Henri Poincaré;1424-0661;10.1007/s00023-022-01243-4;https://doi.org/10.1007/s00023-022-01243-4;03.12.2022;16.10.2022;2750;originalpaper;Research Article;optin
6;Deutsches Elektronen-Synchrotron (DESY);Structural Chemistry;1572-9001;10.1007/s11224-022-02053-4;https://doi.org/10.1007/s11224-022-02053-4;05.10.2022;02.09.2022;2750;originalpaper;Research Article;optin
7;Deutsches Elektronen-Synchrotron (DESY);Computing and Software for Big Science;2510-2044;10.1007/s41781-022-00081-7;https://doi.org/10.1007/s41781-022-00081-7;09.03.2022;02.02.2022;2750;originalpaper;Research Article;optin
8;Deutsches Elektronen-Synchrotron (DESY);Communications in Mathematical Physics;1432-0916;10.1007/s00220-022-04376-z;https://doi.org/10.1007/s00220-022-04376-z;20.04.2022;08.03.2022;2750;originalpaper;Research Article;optin
9;Deutsches Elektronen-Synchrotron (DESY);Monatshefte für Mathematik;1436-5081;10.1007/s00605-022-01702-4;https://doi.org/10.1007/s00605-022-01702-4;18.05.2022;06.03.2022;2750;originalpaper;Research Article;optin
10;Deutsches Elektronen-Synchrotron (DESY);The European Physical Journal Plus;2190-5444;10.1140/epjp/s13360-022-03517-6;https://doi.org/10.1140/epjp/s13360-022-03517-6;06.12.2022;19.11.2022;2750;originalpaper;Research Article;optin
