"INSTITUTION","PERIOD","AGREEMENT","DOI","IS_HIBRID","PUBLISHER","JOURNAL_FULL_TITLE","ISSN"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/d2ob01371a","TRUE","Royal Society of Chemistry","Organic & Biomolecular Chemistry","1477-0539"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D1CP03904K","TRUE","Royal Society of Chemistry","Physical Chemistry Chemical Physics","1463-9084"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2CP00730D","TRUE","Royal Society of Chemistry","Physical Chemistry Chemical Physics","1463-9084"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2CC00121G","TRUE","Royal Society of Chemistry","ChemComm","1364-548X"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2CE00884J","TRUE","Royal Society of Chemistry","ChemComm","1364-548X"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2GC00655C","TRUE","Royal Society of Chemistry","Green Chemistry","1463-9270"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2CP00750A","TRUE","Royal Society of Chemistry","Physical Chemistry Chemical Physics","1463-9084"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D1FO03847H","TRUE","Royal Society of Chemistry","Food & Function","2042-650X"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2CE00957A","TRUE","Royal Society of Chemistry","CrystEngComm","1466-8033"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2SM00889K","TRUE","Royal Society of Chemistry","Soft Matter","1744-6848"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2NR04532J","TRUE","Royal Society of Chemistry","Nanoscale","2040-3372"
"University of Milan",2022,"University of Milan - Royal Society of Chemistry","10.1039/D2CP04387D","TRUE","Royal Society of Chemistry","Physical Chemistry Chemical Physics","1463-9084"
