"INSTITUTION","PERIOD","AGREEMENT","DOI","IS_HIBRID","PUBLISHER","JOURNAL_FULL_TITLE","ISSN"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.jafc.1c05057",1,"American chemical society","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","0021-8561"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.jmedchem.0c02039",1,"American Chemical Society (ACS)","JOURNAL OF MEDICINAL CHEMISTRY","1520-4804"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.jpcc.0c08145",1,"American Chemical Society","JOURNAL OF PHYSICAL CHEMISTRY. C","1932-7447"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.jpclett.1c01142",1,"American Chemical Society (ACS)","THE JOURNAL OF PHYSICAL CHEMISTRY LETTERS","1948-7185"
"University of Milan",2021,"University of Milan - ACS","10.1021/acschembio.1c00347",1,"ACS","ACS CHEMICAL BIOLOGY","1554-8929"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.orglett.1c02539",1,"American Chemical Society (ACS)","ORGANIC LETTERS","1523-7060"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.joc.1c01270",1,"American Chemical Society","JOURNAL OF ORGANIC CHEMISTRY","0022-3263"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.iecr.1c02249",1,"American Chemical Society","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","0888-5885"
"University of Milan",2021,"University of Milan - ACS","10.1021/acsaem.1c01623",1,"American Chemical Society","ACS APPLIED ENERGY MATERIALS","2574-0962"
"University of Milan",2021,"University of Milan - ACS","10.1021/acsearthspacechem.1c00224",1,"American Chemical Society","ACS EARTH AND SPACE CHEMISTRY","2472-3452"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.jctc.1c00707",1,"American Chemical Society","JOURNAL OF CHEMICAL THEORY AND COMPUTATION","1549-9618"
"University of Milan",2021,"University of Milan - ACS","10.1021/acs.jctc.1c00622",1,"American Chemical Society","JOURNAL OF CHEMICAL THEORY AND COMPUTATION","1549-9618"
