institution;period;euro;doi;backlist_oa;book_title
Universität Luzern;2023;4295;https://www.vr-elibrary.de/doi/book/10.7788/9783412525729;false;Animals and Epidemics
Universität Luzern;2023;5457;https://doi.org/10.1515/zfrs-2024-frontmatter1;false;Special Issue: Society’s Constitutions
