"institution","is_hybrid","Period","EURO","publisher","journal","ISSN.1","ISSN.2","doi","indexed_in_CrossRef","pmid","pmcid","base_url","repo_id","ut","DOAJ"
"Bamberg U",FALSE,2018,"1,690.40","frontiers","Frontiers in Psychology-Organizational Psychology","1664-1078","NA","10.3389/fpsyg.2018.02179","TRUE",30483188,"PMC6243093","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",,,"TRUE"
"Bamberg U",FALSE,2018,"445.00","Elsevier","Data in Brief","2352-3409","NA","10.1016/j.dib.2018.08.153","TRUE",30306107,"PMC6172417","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",,,"TRUE"
"Bamberg U",FALSE,2018,"604.12","SAGE","i-perception","2041-6695","NA","10.1177/2041669518796851","TRUE",30210777,"PMC6130094",,,,"TRUE"
"Bamberg U",FALSE,2018,"1,575.84","ARVO","jov journal of vision","1534-7362","NA","10.1167/18.4.21","TRUE",29710311,"NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",,,"TRUE"
"Bamberg U",FALSE,2018,"1,483.25","BioMed Central","BMC Geriatrics","1471-2318","NA","10.1186/s12877-018-0773-8","TRUE",29642850,"PMC5896123",,,,"TRUE"
"Bamberg U",FALSE,2018,"107.10","University of Almeria et al.","Electronic Journal of Research in Educational Psychology","1696-2095","NA","10.25115/ejrep.v16i44.1935","TRUE","NA","NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",,,"TRUE"
"Bamberg U",FALSE,2018,"908.89","Springer Open","Heritage Science","2050-7445","NA","10.1186/s40494-018-0169-2 ","TRUE","NA","NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",,,"TRUE"
"Bamberg U",FALSE,2018,"1,229.70","PLOS ","PLoS one","1932-6203","NA","10.1371/journal.pone.0192133 ","TRUE",29381747,"PMC5790270",,,,"TRUE"
