"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Marburg U",2023,2000,"10.23799/9783741001949",FALSE,"Schüren Verlag","Die «filmende Bäckersfrau» Elisabeth Wilms","978-3-7410-0194-9",NA,"978-3-7410-0194-9",NA,TRUE,FALSE
"Marburg U",2023,2000,"10.1628/978-3-16-162027-0",FALSE,"Mohr Siebeck","Wertpapierrecht der Security Token Offerings","978-3-16-162027-0",NA,"978-3-16-162027-0","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"Marburg U",2023,12078.5,"10.1007/978-3-658-42221-9",FALSE,"Springer Fachmedien Wiesbaden","Fortbildungen für KulturSchule","978-3-658-42220-2","978-3-658-42220-2","978-3-658-42221-9","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Marburg U",2023,8270.5,"10.5117/9789463724067",FALSE,"Amsterdam University Press","How Film Histories Were Made","978-90-485-5457-7","978-90-485-5457-7","978-90-485-5457-7","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"Marburg U",2023,7378,"10.14361/9783839469354",FALSE,"transcript Verlag","Leben und Altern mit ›geistiger Behinderung‹","978-3-8376-6935-0","978-3-8376-6935-0","978-3-8394-6935-4","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"Marburg U",2023,7140,"10.14361/9783839468227",FALSE,"transcript Verlag","Jüdisches Leben in Marburg","978-3-8376-6822-3","978-3-8376-6822-3","978-3-8394-6822-7","https://creativecommons.org/licenses/by-nd/4.0/",TRUE,FALSE
"Marburg U",2023,2000,"10.1628/978-3-16-162347-9",FALSE,"Mohr Siebeck","Das Allgemeine Privatrecht der Blockchain-Token","978-3-16-162347-9",NA,"978-3-16-162347-9","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"Marburg U",2023,6188,"10.1628/978-3-16-163488-8",FALSE,"Mohr Siebeck","Kryptoaktien","978-3-16-163488-8",NA,"978-3-16-163488-8","https://creativecommons.org/licenses/by/4.0/",TRUE,FALSE
"Marburg U",2022,7378,"10.1515/9783110741100",FALSE,"De Gruyter","Branding the Middle East","978-3-11-074110-0",NA,"978-3-11-074110-0","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Marburg U",2022,3500,"10.25656/01:25638",FALSE,"Verlag Julius Klinkhardt","Praxeologisch-wissenssoziologische Professionsforschung","978-3-7815-5973-8",NA,NA,NA,FALSE,FALSE
"Marburg U",2023,5074.16,"10.1628/978-3-16-162716-3",FALSE,"Mohr Siebeck","Blockchain und Recht","978-3-16-162716-3",NA,"978-3-16-162716-3","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,FALSE
"Marburg U",2023,3165.28,"10.5771/9783748925606",FALSE,"Nomos Verlagsgesellschaft mbH & Co. KG","Haus – Geschlecht – Sicherheit","978-3-7489-2560-6","978-3-7489-2560-6",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
