institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url ;
Philipps-Universität Marburg;2018;1491.62;10.1371/journal.pone.0188876;FALSE;;;;;
Philipps-Universität Marburg;2018;1719.7;10.1186/s12891-017-1909-2;FALSE;;;;;
Philipps-Universität Marburg;2018;1785.15;10.1186/s12875-017-0695-0;FALSE;;;;;
Philipps-Universität Marburg;2018;1785.1475;10.1186/s12962-018-0091-1;FALSE;;;;;
Philipps-Universität Marburg;2018;1552.95;10.1038/s41598-018-19189-1;FALSE;;;;;
Philipps-Universität Marburg;2018;1552.95;10.1038/s41598-017-16263-y;FALSE;;;;;
Philipps-Universität Marburg;2018;722.75;10.1371/journal.pone.0191019;FALSE;;;;;
Philipps-Universität Marburg;2018;1839.1;;FALSE;Clinics in Oncology Open;Clinics in Oncology Journal;2474-1663;http://www.clinicsinoncology.com/pdfs_folder/cio-v2-id1323.pdf;
Philipps-Universität Marburg;2018;1445.91;10.1371/journal.pone.0190624;FALSE;;;;;
Philipps-Universität Marburg;2018;1837.61;10.3389/fpsyt.2018.00058;FALSE;;;;;
Philipps-Universität Marburg;2018;1410.15;10.1093/scan/nsy004;FALSE;;;;;
Philipps-Universität Marburg;2018;1420.19;10.1172/jci.insight.96322;FALSE;;;;;
Philipps-Universität Marburg;2018;1437.27;10.1371/journal.pone.0193972;FALSE;;;;;
Philipps-Universität Marburg;2018;1785.15;10.1186/s12992-018-0352-y;FALSE;;;;;
Philipps-Universität Marburg;2018;1785.15;10.1186/s12891-017-1920-7;FALSE;;;;;
Philipps-Universität Marburg;2018;1785.15;10.1186/s12888-018-1630-1;FALSE;;;;;
Philipps-Universität Marburg;2018;1552.95;10.1038/s41598-018-19990-y;FALSE;;;;;
Philipps-Universität Marburg;2018;1901.62;10.2147/COPD.S161577;FALSE;;;;;
Philipps-Universität Marburg;2018;1901.62;10.2147/COPD.S164096;FALSE;;;;;
Philipps-Universität Marburg;2018;1630.3;10.1038/s41598-018-25690-4;FALSE;;;;;
Philipps-Universität Marburg;2018;1911.35;10.1167/18.3.8;FALSE;;;;;
Philipps-Universität Marburg;2018;1901.62;10.2147/COPD.S165909;FALSE;;;;;
Philipps-Universität Marburg;2018;1903.92;10.1167/18.5.14;FALSE;;;;;
Philipps-Universität Marburg;2018;1990.8;10.1089/sysm.2018.0002;FALSE;;;;;
Philipps-Universität Marburg;2018;1804.27;10.3390/rs10050660;FALSE;;;;;
Philipps-Universität Marburg;2018;1804.27;10.3390/rs10040628;FALSE;;;;;
Philipps-Universität Marburg;2018;1563.66;10.1029/2018EF000833;FALSE;;;;;
Philipps-Universität Marburg;2018;1830.52;10.1186/s12871-018-0522-8;FALSE;;;;;
Philipps-Universität Marburg;2018;1430;10.1038/s41420-018-0061-6 ;FALSE;;;;;
Philipps-Universität Marburg;2018;1356.04;10.1063/1.5025777;FALSE;;;;;
Philipps-Universität Marburg;2018;1858.35;10.3390/rs10060891;FALSE;;;;;
Philipps-Universität Marburg;2018;1630.3;10.1038/s41598-018-28927-4;FALSE;;;;;
Philipps-Universität Marburg;2018;660;10.3897/natureconservation.27.26024;FALSE;;;;;
Philipps-Universität Marburg;2018;1632.58;10.1371/journal.pone.0201735;FALSE;;;;;
Philipps-Universität Marburg;2018;1456.56;10.1002/ece3.4374;FALSE;;;;;
Philipps-Universität Marburg;2018;1512.16;10.1371/journal.pone.0196854;FALSE;;;;;
Philipps-Universität Marburg;2018;1630.3;10.1038/s41598-018-30832-9;FALSE;;;;;
Philipps-Universität Marburg;2018;1630.3;10.1038/s41598-018-31322-8;FALSE;;;;;
Philipps-Universität Marburg;2018;2237.09;10.1186/s12915-018-0561-0;FALSE;;;;;
Philipps-Universität Marburg;2018;1071;10.1093/nar/gky581;FALSE;;;;;
Philipps-Universität Marburg;2018;1785.15;10.1186/s12904-018-0363-8;FALSE;;;;;
Philipps-Universität Marburg;2018;1699.32;10.3390/ijerph15092015;FALSE;;;;;
Philipps-Universität Marburg;2018;793.3;10.3390/e20100724;FALSE;;;;;
Philipps-Universität Marburg;2018;1740.97;10.1093/gbe/evy214;FALSE;;;;;
Philipps-Universität Marburg;2018;1630.3;10.1038/s41598-018-33842-9;FALSE;;;;;
Philipps-Universität Marburg;2018;2004;10.3389/fpsyt.2018.00541;FALSE;;;;;
Philipps-Universität Marburg;2018;1630.3;10.1038/s41598-018-34105-3;FALSE;;;;;
Philipps-Universität Marburg;2018;1785.15;10.1186/s12871-018-0613-6;FALSE;;;;;
Philipps-Universität Marburg;2018;1370;10.1038/s41598-018-33677-4;FALSE;;;;;
Philipps-Universität Marburg;2018;1809.79;10.1186/s13019-018-0785-7;FALSE;;;;;
Philipps-Universität Marburg;2018;1433.95;10.14814/phy2.13921;FALSE;;;;;
Philipps-Universität Marburg;2018;547.4;10.16910/jemr.11.4.6;FALSE;;;;;
Philipps-Universität Marburg;2018;1719.7;10.1186/s12889-018-6135-9;FALSE;;;;;
Philipps-Universität Marburg;2018;1993.25;10.3389/fneur.2018.00627;FALSE;;;;;
Philipps-Universität Marburg;2018;1873.42;10.3390/rs10111782;FALSE;;;;;
Philipps-Universität Marburg;2018;1356.4;10.3390/atmos9110456;FALSE;;;;;
Philipps-Universität Marburg;2018;1820.7;10.1002/ece3.4831;FALSE;;;;;
Philipps-Universität Marburg;2018;1644;10.1038/s41598-018-29525-0;FALSE;;;;;
