institution;period;euro;doi;backlist_oa;isbn;isbn_2;book_title;;;;;;;;;;
WWU Münster;2017;1075,35;10.5281/zenodo.1069431;FALSE;978-3-8325-4571-0;;Magnetismus hoch 4 – Fachliche Strukturierung und Entwicklung multipler Repräsentationen zum Magnetismus für die Hochschule;;;;;;;;;;
WWU Münster;2018;6485,50;;FALSE;978-3-8309-3869-9;;Blaues Blut und rote Zahlen. Westfälischer Adel im Konkurs;;;;;;;;;;
WWU Münster;2018;6785,86;10.28937/978-3-7873-3572-5;FALSE;;;Die kleine Welt;;;;;;;;;;
WWU Münster;2019;2975,00;;FALSE;978-3-8309-3881-1; 978-3-8309-8881-6;Dealing with Diversity. Innovative Lehrkonzepte in der Lehrer*innenbildung zum Umgang mit Heterogenität und Inklusion;;;;;;;;;;
WWU Münster;2019;6902,00;;FALSE;978-3-8309-3896-5;;The Nordic Ingredient: European Nationalisms and Norwegian Music since 1905;;;;;;;;;;
WWU Münster;2019;7651,70;10.3726/b15626;FALSE;;;Verleger als Leser und als Vermittler von Lesekultur;;;;;;;;;;
WWU Münster;2019;4522,00;;FALSE;978-3-8309-3947-4;978-3-8309-8947-9;Kontrolle und Delinquenz – Panelanalysen zu justizieller Stigmatisierung und Abschreckung;;;;;;;;;;
WWU Münster;2019;8978,07;10.5771/9783748905257;FALSE;;;Entwurf einer Soziologie der Deliberation;;;;;;;;;;
WWU Münster;2019;2975,00;10.31244/9783830989905;FALSE;;;Komplexitätsreduktion in Lehr-Lern-Laboren: Innovative Lehrformate in der Lehrerbildung zum Umgang mit Heterogenität und Inklusion;;;;;;;;;;
WWU Münster;2019;2975,00;10.31244/9783830990666;FALSE;978-3-8309-9066-6;;Begabungsförderung. Leistungsentwicklung. Bildungsgerechtigkeit. Für alle! 1;;;;;;;;;;
WWU Münster;2019;2975,00;10.31244/9783830990673;FALSE;978-3-8309-9067-3;;Begabungsförderung. Leistungsentwicklung. Bildungsgerechtigkeit. Für alle! 2;;;;;;;;;;
