institution;period;euro;doi;backlist_oa;isbn_electronic;isbn_print;book_title;;;;;;;;;;
Münster University;2023;12.138,00 ;https://doi.org/10.31819/9783968692630;FALSE;978-3-96869-262-3;;Die Anthropologisierung des Ökonomischen in spanischen Komödien, 1762-1805: Vom vir oeconomicus bis zur femina profusa;;;;;;;;;;
Münster University;2023;5.355,00 ;https://doi.org/10.1007/978-3-658-42036-9;FALSE;978-3-658-42036-9;978-3-658-42035-2;Unterstützung datenbasierter Schulentwicklung?! Eine multiperspektivische Governancestudie zu Koordinationsprozessen bei der Schulinspektion;;;;;;;;;;
Münster University;2024;9.508,10 ;https://doi.org/10.31244/9783830996675;FALSE;978-3-8309-9667-5;978-3-8309-4667-0;Potenziale erkennen – Talente entwickeln – Bildung nachhaltig gestalten: Beiträge aus der Begabungsforschung;;;;;;;;;;
Münster University;2024;9.508,10 ;https://doi.org/10.31244/9783830996682;FALSE;978-3-8309-9668-2;978-3-8309-4668-7;Potenziale erkennen – Talente entwickeln – Bildung nachhaltig gestalten: Beiträge aus der Begabungsförderung ;;;;;;;;;;
