"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Münster U",2017,1075.35,"10.5281/zenodo.1069431",FALSE,"Logos Verlag Berlin","Magnetismus hoch 4 - Fachliche Strukturierung und Entwicklung multipler Repräsentationen zum Magnetismus für die Hochschule","978-3-8325-4571-0",NA,NA,NA,FALSE,FALSE
"Münster U",2018,6485.5,NA,FALSE,"Waxmann Verlag","Blaues Blut und rote Zahlen. Westfälischer Adel im Konkurs","978-3-8309-3869-9",NA,NA,NA,FALSE,FALSE
"Münster U",2018,6785.86,"10.28937/978-3-7873-3572-5",FALSE,"Felix Meiner Verlag","Die kleine Welt","978-3-7873-3572-5",NA,NA,NA,TRUE,FALSE
"Münster U",2019,2975,NA,FALSE,"Waxmann Verlag","Dealing with Diversity. Innovative Lehrkonzepte in der Lehrer*innenbildung zum Umgang mit Heterogenität und Inklusion","978-3-8309-3881-1",NA,NA,NA,FALSE,FALSE
"Münster U",2019,6902,NA,FALSE,"Waxmann Verlag","The Nordic Ingredient: European Nationalisms and Norwegian Music since 1905","978-3-8309-3896-5",NA,NA,NA,FALSE,FALSE
"Münster U",2019,7651.7,"10.3726/b15626",FALSE,"Peter Lang D","Verleger als Leser und als Vermittler von Lesekultur","978-3-631-79024-3",NA,"978-3-631-79024-3",NA,TRUE,FALSE
"Münster U",2019,4522,NA,FALSE,"Waxmann Verlag","Kontrolle und Delinquenz - Panelanalysen zu justizieller Stigmatisierung und Abschreckung","978-3-8309-3947-4",NA,NA,NA,FALSE,FALSE
"Münster U",2019,8978.07,"10.5771/9783748905257",FALSE,"Velbrück Wissenschaft","Entwurf einer Soziologie der Deliberation","978-3-7489-0525-7",NA,NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"Münster U",2019,2975,"10.31244/9783830989905",FALSE,"Waxmann Verlag","Komplexitätsreduktion in Lehr-Lern-Laboren","978-3-8309-3990-0",NA,NA,NA,TRUE,FALSE
"Münster U",2019,2975,"10.31244/9783830990666",FALSE,"Waxmann Verlag","Begabungsförderung. Leistungsentwicklung. Bildungsgerechtigkeit. Für alle! 1","978-3-8309-9066-6",NA,NA,NA,FALSE,FALSE
"Münster U",2019,2975,"10.31244/9783830990673",FALSE,"Waxmann Verlag","Begabungsförderung. Leistungsentwicklung. Bildungsgerechtigkeit. Für alle! 2","978-3-8309-9067-3",NA,NA,NA,FALSE,FALSE
