institution;period;euro;doi;backlist_oa;isbn;isbn_2;book_title;;;;;;;;;;
WWU Münster;2021;6.058,30 ;https://doi.org/10.17438/978-3-402-21815-0;FALSE;978-3-402-24764-8;978-3-402-24763-1;Luigi Pareyson - Vom Staunen der Vernunft ;;;;;;;;;;
WWU Münster;2021;6.720,40 ;https://doi.org/10.3726/b17879;FALSE;978-3-631-84269-0;;Trust and Communication: Foundations of Interconnectivity;;;;;;;;;;
WWU Münster;2021;5.355,00 ;https://doi.org/10.14361/9783839456927;FALSE;978-3-8394-5692-7;;Nachhaltige  Lebensführung. Praktiken und Transformationspotenziale gemeinschaftlicher Wohnprojekte;;;;;;;;;;
WWU Münster;2021;7.000,00 ;https://doi.org/10.4324/9780367748746;FALSE;978-0-3677-4874-6;;Consumption Corridors: Living a Good Life Within Sustainable Limits;;;;;;;;;;
WWU Münster;2021;3.960,00 ;;FALSE;978-3-7799-6506-0;;Dauerbeobachtungen der Gesellschaft - Wie Printmedien über Sozialwissenschaften berichten;;;;;;;;;;
WWU Münster;2021;5.950,00 ;https://doi.org/10.31244/9783830993391;FALSE;978-3-8309-4339-6;;Pfandleiher in Deutschland - Erzählte Identität;;;;;;;;;;
WWU Münster;2021;7.140,00 ;https://doi.org/10.1163/9789004446458;FALSE;978-90-04-44644-1; 978-90-04-44645-8;New Approaches to the Study of Esotericism;;;;;;;;;;
WWU Münster;2021;6.870,46 ;https://doi.org/10.14361/9783839456378;FALSE;978-3-8376-5637-4;;Systemvertrauen und Journalismus im Neoliberalismus;;;;;;;;;;
WWU Münster;2021;5.458,00 ;https://doi.org/10.25162/9783515130516;FALSE;978-3-515-13051-6;;Imaginative Animals - Leibniz's Logic of Imagination;;;;;;;;;;
