Institution;Period;EURO;DOI;is_hybrid;Publisher;Journal_full_title;Funding Programme;Notiz 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.accounts.2c00173;TRUE;AMERICAN CHEMICAL SOCIETY;Accounts of Chemical Research;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.accounts.2c00436;TRUE;AMERICAN CHEMICAL SOCIETY;Accounts of Chemical Research;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.accounts.2c00470;TRUE;AMERICAN CHEMICAL SOCIETY;Accounts of Chemical Research;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsaem.2c00888;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Energy Materials;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.jpcc.1c09986;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c04599;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c06293;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c11649;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c14500;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c15706;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Materials & Interfaces;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsanm.2c01904;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Nano Materials;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsapm.2c00834;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Applied Polymer Materials;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.jpca.1c10970;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.inorgchem.1c03989;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.jpclett.2c00654;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acscatal.2c00257;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acscatal.2c01584;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acscatal.2c02377;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acscatal.2c03225;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acscatal.2c03692;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acscatal.2c02901;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acscatal.2c02689;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acscatal.2c04426;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Catalysis;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acssynbio.1c00512;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Chemical Biology;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acschembio.2c00626;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Chemical Biology;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.est.1c08282;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Infectious Diseases;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsmaterialsau.2c00025;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Materials Au;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.nanolett.1c04872;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Measurement Science Au;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.est.2c00506;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Nano;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsami.2c02996;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Nano;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsnano.2c07121;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Nano;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsnano.2c08631;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Nano;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsnano.2c09115;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Nano;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsnano.2c10707;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Nano;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.jpcc.2c00674;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Nanoscience Au;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsorginorgau.2c00014;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Organic & Inorganic Au;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsorginorgau.2c00028;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Organic & Inorganic Au;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsphotonics.2c01431;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Photonics;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsphotonics.2c01021;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Photonics;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsphotonics.2c01202;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Photonics;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acsphyschemau.2c00031;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Physical Chemistry Au;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acssuschemeng.2c01978;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Sustainable Chemistry & Engineering;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acssuschemeng.2c02871;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Sustainable Chemistry & Engineering;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.jpca.1c10309;TRUE;AMERICAN CHEMICAL SOCIETY;ACS Synthetic Biology;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/jacs.8b13088;TRUE;AMERICAN CHEMICAL SOCIETY;Analytical Chemistry;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.iecr.1c04786;TRUE;AMERICAN CHEMICAL SOCIETY;Analytical Chemistry;Peer-Reviewed Publications;Transformative Agreement 
Austrian Science Fund (FWF);2022;2.902,98 ;10.1021/acs.jproteome.1c00911;TRUE;AMERICAN CHEMICAL SOCIETY;Analytical Chemistry;Peer-Reviewed Publications;Transformative Agreement 
