"institution","period","EURO","doi","is_hybrid","Publisher","journal_full_title","Agreement "
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acsabm.0c01355","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Applied Bio Materials","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acsaem.0c01663","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Applied Energy Materials","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acsami.0c14987","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Applied Materials & Interfaces","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acsami.0c10641","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Applied Materials & Interfaces","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acsami.0c14013","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Applied Materials & Interfaces","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acsanm.0c02182","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Applied Nano Materials","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acsapm.0c01011","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Applied Polymer Materials","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acscatal.0c03755","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Catalysis","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acscatal.0c04290","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Catalysis","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acscatal.0c05294","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Catalysis","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acscatal.0c03974","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Catalysis","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acsnano.0c06798","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Nano","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acssensors.0c01465","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Sensors","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acssynbio.0c00214","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","ACS Synthetic Biology","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.analchem.0c02843","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Analytical Chemistry","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.analchem.0c02228","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Analytical Chemistry","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.biochem.0c00748","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Biochemistry","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.chemrestox.0c00511","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Chemical Research In Toxicology","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.chemmater.0c03593","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Chemistry Of Materials","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.cgd.0c01157","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Crystal Growth & Design","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.iecr.0c02939","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Industrial & Engineering Chemistry Research","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.inorgchem.0c02298","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Inorganic Chemistry","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.inorgchem.0c03083","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Inorganic Chemistry","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.inorgchem.0c03311","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Inorganic Chemistry","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.jmedchem.0c01233","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Journal Of Medicinal Chemistry","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.jmedchem.0c01277","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Journal Of Medicinal Chemistry","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.jnatprod.0c00648","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Journal Of Natural Products","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.jnatprod.0c00277","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Journal Of Natural Products","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.jnatprod.0c01069","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Journal Of Natural Products","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.jproteome.0c00569","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Journal Of Proteome Research","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.jproteome.0c00583","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Journal Of Proteome Research","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/jacs.0c07922","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Journal Of The American Chemical Society","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.nanolett.0c03227","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Nano Letters","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.nanolett.0c04084","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Nano Letters","Transformative Open Access Agreement"
"Austrian Science Fund (FWF)",2020,2786.38,"10.1021/acs.orglett.0c03160","TRUE","AMERICAN CHEMICAL SOCIETY (ACS)","Organic Letters","Transformative Open Access Agreement"
