Institution;Period; Euro ;DOI;FWF e-book library;Publisher;Book_title;ISBN;Funding Programme
Austrian Science Fund (FWF);2022; € 9.000,00 ;;;ad picturam Fachverlag für kunstwissenschaftliche Literatur;Wie der Text zu Bildern kam;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;https://e-book.fwf.ac.at/o:1755;BRILL Deutschland GmbH;Intim und respektabel;978-3-8471-1311-9;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;BRILL Deutschland GmbH;"""Worauf ich mich verlassen kann"". Einstellungen von Schü...";;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 48.880,00 ;;;BRILL Deutschland GmbH., Böhlau Verlag;Historische Anthropologie. Kultur - Gesellschaft - Alltag;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;10.7788/9783412526757;https://e-book.fwf.ac.at/o:1787;BRILL Deutschland GmbH., Böhlau Verlag;Moskaus (in)existente Mittelschicht: Eine Ethnographie;978-3-412-52674-0;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;BRILL Deutschland GmbH., Böhlau Verlag;Die Schenkung unter Auflage im römischen Recht ;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;10.7767/9783205216193;https://e-book.fwf.ac.at/o:1764;Brill Österreich GmbH. – Böhlau Verlag;Kollektivität: Geteilte Autorschaften und kollaborative Praxisformen 1770-1840;978-3-205-21613-1;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 18.000,00 ;;;Brill Österreich GmbH. – Böhlau Verlag;Organizzare l´Opera;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 14.000,00 ;;;Brill Österreich GmbH. – Böhlau Verlag;Kunst und Zeremoniell in Rom unter Paul V. (1605-1621)  ;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;Brill Österreich GmbH. – Böhlau Verlag;Gefangen in Mauthausen ;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;Brill Österreich GmbH. – Böhlau Verlag;Angepasst oder selbstbestimmt?;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;Brill Österreich GmbH. – Böhlau Verlag;"Albert Jäger (1801-1891) ""Erinnerungen aus meinem Leben"" ";;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;Brill Österreich GmbH. – Böhlau Verlag;Los Vineses;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;10.7767/9783205217527;https://e-book.fwf.ac.at/o:1827;Brill Österreich GmbH. – Böhlau Verlag;Glanz und Elend der Aufklärung in Wien: Voraussetzungen – Institutionen – Texte;978-3-205-21751-0;Stand-Alone Publications
